# R in kpc | sigma in M_sol / pc^2 | lower error | upper error
r Sigma_hi sigma_Sigma_l sigma_Sigma_u
1.0 0.8668739071028588 -0.28973811139086014 0.25011213453929715
2.0 0.8156982993452454 -0.21576883385423537 0.23417980369653643
3.0 4.540021873409517 0.8985243017265016 0.9323351188015953
4.0 5.595934190087633 1.3264527159559503 1.1975346192396614
5.0 5.336105359882575 1.4562596334282711 0.4406993413653302
6.0 7.118090911354299 2.3554699952513007 1.1570438774475835
7.0 6.381511439714927 1.944133030511756 0.8828353190901295
8.0 5.305900758495309 1.0507001868116435 1.8124910605784768
9.0 6.537675977359415 1.9613027932078244 1.3240893267152662
10.0 6.48097954524316 1.944293863572948 1.2526011414932368
11.0 6.620152948703296 1.9860458846109887 0.9113776651292694
12.0 6.472098448348683 1.9416295345046048 0.9022082344039779
13.0 5.702931489392471 1.7108794468177413 0.9900724890487005
14.0 4.794366065587728 1.4383098196763184 1.080989680080834
15.0 4.160178126625114 1.2480534379875343 1.323514034004869
