# R in kpc | sigma in M_sol / pc^2 | lower error | upper error
r Sigma_h2 sigma_Sigma_l sigma_Sigma_u
0.05 110.557 34.9708 34.9708
0.25 58.206 20.4948 20.4948
0.45 12.685 5.3925 5.3925
0.65 6.964 2.397 2.397
0.85 4.746 2.3848 2.3848
1.05 2.022 1.0183 1.0183
1.25 1.444 0.6394 0.6394
1.45 1.425 0.6396 0.6396
1.65 1.068 0.5559 0.5559
1.85 0.773 0.3742 0.3742
2.05 1.351 0.6679 0.6679
2.25 1.028 0.4609 0.4609
2.45 2.653 1.0631 1.0631
2.65 3.681 1.5406 1.5406
2.85 4.226 1.7635 1.7635
3.05 3.744 1.6237 1.6237
3.25 6.212 2.2006 2.2006
3.45 5.295 2.4736 2.4736
3.65 4.952 2.2454 2.2454
3.85 3.643 1.4314 1.4314
4.05 3.916 2.0173 2.0173
4.25 6.452 3.2078 3.2078
4.45 7.776 3.4151 3.4151
4.65 4.44 2.1729 2.1729
4.85 3.078 1.7117 1.7117
5.05 2.378 1.6891 1.6891
5.25 2.421 1.1994 1.1994
5.45 1.62 0.8066 0.8066
5.65 1.972 1.4231 1.4231
5.85 2.357 1.6915 1.6915
6.05 2.373 2.0781 2.0781
6.25 3.747 3.2329 3.2329
6.45 5.727 3.8168 3.8168
6.65 1.681 1.6917 1.6917
6.85 1.418 1.8267 1.8267
7.05 1.021 1.0904 1.0904
7.25 0.891 0.7321 0.7321
7.45 1.159 0.9381 0.9381
7.65 0.506 1.2011 1.2011
7.85 0.238 0.8292 0.8292
8.05 1.105 2.015 2.015
8.25 1.342 7.2801 7.2801
9.0 0.963571418152533 0.2890714254457598 0.2890714254457598
10.0 0.6196245507990137 0.4653352233110157 0.4653352233110157
11.0 0.5356837951690077 0.5455895043707883 0.5455895043707883
12.0 0.2947566901248138 0.305690189662395 0.305690189662395
13.0 0.1380205971182394 0.1586261733289487 0.1586261733289487
14.0 2.1548250197084263e-11 3.259303015653145e-11 3.259303015653145e-11
15.0 2.437864124726004e-11 3.9434686856721007e-11 3.9434686856721007e-11
