#r [kpc]	| H2 surface density [n/cm³] : kubick
0.0000  15000.0000
0.0972	14835.6991
0.1702	14778.1562
0.3647	14550.2079
0.5592	14325.7756
0.7536	14159.7261
1.0697	13941.3168
1.2885	13779.7236
1.5073	13462.1345
1.7018	13254.4853
1.9206	13050.0391
2.1394	12798.9103
2.4554	12552.6141
2.6985	12168.3605
2.8687	11841.8000
3.2577	11704.5422
3.6710	11258.4031
3.9627	10787.2661
4.4976	10457.0524
4.9595	9864.9032
5.4943	9378.8999
5.9806	8882.2544
6.4911	8477.5438
7.0016	8059.8900
7.4878	7573.9929
7.9984	7172.9236
8.5089	6740.4980
9.0194	6285.1006
9.5057	5725.4010
9.9919	5175.1632
10.4781	4605.6522
10.9887	4004.3465
12.0097	3468.0423
12.9822	3159.2068
14.0032	2889.0795
15.0000	2591.2070
15.9724	2315.0318
16.9692	2369.6464
17.9903	2425.5494
18.0146	2270.4824
18.5146 2270.4824
18.8146 2270.4824
