# R in kpc | h in pc | lower error in pc | upper error in pc
r h_hi sigma_h_l sigma_h_u
1.0 44.16286834149015 7.292603853520239 6.898120057374669
2.0 53.148125616040545 8.291904621610472 8.006065658787357
3.0 61.509530095325985 4.405355236564492 4.553527524878376
4.0 69.76240900730349 5.722093090413446 5.671665335636353
5.0 78.54217402986664 4.801137580044134 4.682276058258193
6.0 88.55863454063733 7.535135885345548 7.192760784040398
7.0 100.5503108667574 8.664384431371728 8.49808766473107
8.0 115.23874753468023 26.99994185221477 26.50699041608105
9.0 133.28282651996247 33.32070662999062 33.32070662999062
10.0 155.23308049705577 38.80827012426394 38.80827012426394
11.0 181.4860060890982 45.37150152227455 45.37150152227455
12.0 212.23837711770625 53.05959427942656 53.05959427942656
13.0 247.44155785276618 61.86038946319154 61.86038946319154
14.0 286.7558162622257 71.68895406555644 71.68895406555644
15.0 329.5046372618863 82.37615931547157 82.37615931547157
