Date,EPS Estimate,Reported EPS,Surprise(%)
2022-10-27 12:00:00-04:00,1.27,1.29,0.015500000000000002
2022-07-28 12:00:00-04:00,1.16,1.2,0.0325
2022-04-28 12:00:00-04:00,1.43,1.52,0.0644
2022-01-27 11:00:00-05:00,1.89,2.1,0.11170000000000001
2021-10-28 12:00:00-04:00,1.24,1.24,0.003
2021-07-27 12:00:00-04:00,1.01,1.3,0.2912
2021-04-28 12:00:00-04:00,0.99,1.4,0.4189
2021-01-27 11:00:00-05:00,1.41,1.68,0.1902
2020-10-29 12:00:00-04:00,0.7,0.73,0.0425
2020-07-30 12:00:00-04:00,0.51,0.65,0.2625
2020-04-30 12:00:00-04:00,0.57,0.64,0.1278
2020-01-28 11:00:00-05:00,1.14,1.25,0.09730000000000001
