Date,EPS Estimate,Reported EPS,Surprise(%)
2023-04-14 02:00:00-04:00,3.41,4.32,0.2664
2023-01-13 01:00:00-05:00,3.07,3.56,0.16140000000000002
2022-10-14 02:00:00-04:00,2.88,3.36,0.1656
2022-07-14 02:00:00-04:00,2.88,2.76,-0.0425
2022-04-13 02:00:00-04:00,2.69,2.76,0.0267
2022-01-14 02:00:00-05:00,3.01,3.33,0.1057
2021-10-13 02:00:00-04:00,3.0,3.74,0.2482
2021-07-13 02:00:00-04:00,3.21,3.78,0.1793
2021-04-14 02:00:00-04:00,3.1,4.59,0.4822
2021-01-15 01:00:00-05:00,2.62,3.79,0.4446
2020-10-13 02:00:00-04:00,2.23,2.92,0.3118
2020-07-14 02:00:00-04:00,1.04,1.38,0.3251
