Z	n	M	chi	Tg	Td
100	30	-30	0	30.95974042952204	31.16474642921958
100	30	-30	10	83.61126891911636	47.25769644503717
100	30	-30	20	193.90778094738505	70.37073837926937
100	30	-30	30	282.32332168181506	104.34721645718224
100	30	-30	40	429.7818679964647	155.36721509147904
100	30	-30	50	641.752047634924	232.6898557031693
100	30	-30	60	8686.838836529621	371.80105977177584
100	30	-20	0	30.144209286494323	30.614271706147832
100	30	-20	10	83.23820362186295	46.5322930900882
100	30	-20	20	194.73659493976672	69.30960709051298
100	30	-20	30	269.96569184157704	102.29910884541366
100	30	-20	40	434.4308960542761	151.80428157283507
100	30	-20	50	605.3985870992589	227.10040343267264
100	30	-20	60	8111.680183631331	360.7611878013889
100	30	-10	0	28.8153107113181	29.675100829165995
100	30	-10	10	81.63241717346774	45.3285158885156
100	30	-10	20	197.33333284591905	67.62576662503334
100	30	-10	30	261.76773382764344	99.25652922405094
100	30	-10	40	416.4934865444967	146.15878024556355
100	30	-10	50	594.8867634871135	217.97582775506615
100	30	-10	60	7141.45070809234	343.1171578712603
100	30	0	0	26.74500157939093	27.970683620873857
100	30	0	10	75.79705980165674	43.21225382482392
100	30	0	20	199.92961610190372	64.90380684895078
100	30	0	30	260.32148998792013	94.17420725672842
100	30	0	40	385.4303517000489	136.01978341444078
100	30	0	50	587.1340125911573	197.3131275807262
100	30	0	60	5368.557600893999	308.31849215844306
100	30	10	0	24.045668031594737	25.54415574154918
100	30	10	10	66.40562579257917	40.3016640514484
100	30	10	20	192.10350460734065	61.61529454548834
100	30	10	30	267.4507695977011	88.30199726540596
100	30	10	40	355.9771120636249	124.43493271334523
100	30	10	50	527.2246453851906	174.3446696098175
100	30	10	60	3298.8739256826725	257.67788357846496
100	30	20	0	20.881085612766334	22.234649800164448
100	30	20	10	56.16886633833002	36.50722728031271
100	30	20	20	178.0159310219488	58.29105555159234
100	30	20	30	256.917273397374	82.89921466448182
100	30	20	40	330.4290136199846	113.11909117765305
100	30	20	50	474.22742554651535	151.85413278919174
100	30	20	60	1867.2145731927287	212.5895624043908
100	30	30	0	18.113290333206454	17.88923400634941
