placebo,CMA,RMW,HML,SMB,Mkt-RF
0.8998243978689396,0.01,-0.64,0.38,0.12,2.62
0.339247996641576,0.27,0.18,0.04,0.14,-0.14
0.9186520338130455,0.24,-0.36,0.36,0.18,0.55
0.5623031911675059,-0.14,-0.1,-0.35,-0.12,-0.31
0.6830772068570139,0.1,-0.16,0.0,0.04,-0.27
0.27149214378803277,-0.18,-0.04,-0.4,0.23,0.34
0.12636102114803605,0.06,-0.19,0.49,-0.59,0.66
0.7312533092435212,-0.21,0.23,-0.43,0.05,0.02
0.6767436191508138,0.32,-0.07,-0.05,0.03,-0.06
0.6297064084461943,0.05,-0.09,0.0,0.26,0.19
0.2776020765692899,-0.02,-0.02,0.23,-0.25,-0.04
0.43885713224753276,0.0,0.19,-0.1,0.4,0.61
0.698156530608262,0.25,0.18,-0.09,0.04,0.29
0.360095967408369,0.11,-0.24,0.44,0.21,0.48
0.8265462595364292,-0.12,-0.14,-0.13,-0.35,0.1
0.22081591141451462,0.47,0.08,0.04,0.37,0.09
0.9175989522276073,-0.14,-0.16,-0.32,-0.14,0.59
0.700995883719982,-0.02,-0.03,0.15,0.38,-0.14
0.03571016429856233,0.33,-0.12,0.31,-0.44,0.36
0.013131042550714733,0.0,-0.1,0.16,-0.85,-0.38
0.7909179739699012,0.05,-0.21,0.17,0.71,-0.08
0.3700655575720897,-0.03,-0.27,0.24,0.08,0.99
0.14365272003353202,-0.02,0.0,-0.17,-0.11,-1.19
0.7655517861295196,-0.1,-0.01,0.14,-0.04,1.07
0.5089492596786671,0.02,-0.15,0.14,0.29,0.15
0.9684682596584527,-0.02,0.19,0.02,-0.06,-0.15
0.5613094991162078,-0.45,0.09,-0.18,0.03,0.58
0.16047856310106723,0.3,-0.18,0.38,-0.02,-0.08
0.7203694159079143,0.46,-0.56,0.72,0.27,0.16
0.631947441500357,-0.02,0.0,0.01,0.07,0.14
0.9972882434926014,-0.19,-0.36,0.12,0.27,0.11
0.8294678024075692,0.16,-0.03,-0.09,0.02,-0.11
0.11467317616477235,0.38,-0.08,0.15,0.26,0.74
0.12115971779109536,0.1,0.29,-0.61,-0.6,-1.36
0.605183463009927,0.26,0.03,-0.03,-0.29,-0.66
0.03657669899248894,-0.1,-0.16,-0.04,0.21,0.94
0.6097061130326249,-0.38,0.62,-0.72,-0.24,-1.82
0.07171582389073639,0.25,0.03,0.04,-0.17,0.58
0.15232567350921156,0.01,-0.19,0.15,-0.32,1.29
0.6379653294975521,0.0,0.04,-0.13,0.12,-0.05
0.023066055413876296,-0.02,-0.11,-0.3,0.13,0.22
0.22316954020609325,0.48,-0.37,0.11,-0.36,0.47
0.5424622573778566,0.01,0.02,-0.17,0.15,1.01
0.3320366044451114,0.13,-0.22,0.47,0.14,0.18
0.6850625413194419,0.03,-0.22,0.43,0.21,0.27
0.5585468052516201,0.0,0.01,-0.16,0.38,0.52
0.5009745589345964,0.03,0.01,0.26,-0.28,0.3
0.2281001573651159,0.07,0.27,-0.18,0.02,-0.22
0.14776514943416985,0.26,0.08,0.14,0.23,0.2
0.01725661356230368,-0.04,-0.05,0.4,0.41,0.58
0.852568399060234,0.03,0.2,0.39,0.12,-0.19
0.20683757155099503,0.03,0.36,-0.29,0.12,-0.5
0.5991552507434342,0.39,0.13,0.01,-0.03,-0.24
