n	M	chi	tauFUV
10	00	00	0.11715408281661868
10	00	-10	0.11715408281661868
10	00	10	0.11715408281661868
10	00	15	0.11715408281661868
10	00	20	0.11715408281661868
10	00	25	0.11715408281661868
10	00	30	0.11715408281661868
10	00	35	0.11715408281661868
10	00	40	0.11715408281661868
10	00	45	0.11715408281661868
10	00	50	0.11715408281661868
10	00	-5	0.11715408281661868
10	00	5	0.11715408281661868
10	00	55	0.11715408281661868
10	00	60	0.11715408281661868
10	-10	00	0.05437970876654756
10	10	00	0.2523800437818563
10	-10	-10	0.05437970876654756
10	-10	10	0.05437970876654756
10	10	-10	0.2523800437818563
10	10	10	0.2523800437818563
10	-10	15	0.05437970876654756
10	10	15	0.2523800437818563
10	-10	20	0.05437970876654756
10	10	20	0.2523800437818563
10	-10	25	0.05437970876654756
10	10	25	0.2523800437818563
10	-10	30	0.05437970876654756
10	10	30	0.2523800437818563
10	-10	35	0.05437970876654756
10	10	35	0.2523800437818563
10	-10	40	0.05437970876654756
10	10	40	0.2523800437818563
10	-10	45	0.05437970876654756
10	10	45	0.2523800437818563
10	-10	50	0.05437970876654756
10	10	50	0.2523800437818563
10	-10	-5	0.05437970876654756
10	-10	5	0.05437970876654756
10	10	-5	0.2523800437818563
10	10	5	0.2523800437818563
10	-10	55	0.05437970876654756
10	10	55	0.2523800437818563
10	-10	60	0.05437970876654756
10	10	60	0.2523800437818563
10	-20	00	0.025242467885811422
10	20	00	0.54371528831849
10	-20	-10	0.025242467885811422
10	-20	10	0.025242467885811422
10	20	-10	0.54371528831849
10	20	10	0.54371528831849
10	-20	15	0.025242467885811422
10	20	15	0.54371528831849
10	-20	20	0.025242467885811422
10	20	20	0.54371528831849
10	-20	25	0.025242467885811422
10	20	25	0.54371528831849
10	-20	30	0.025242467885811422
10	20	30	0.54371528831849
10	-20	35	0.025242467885811422
10	20	35	0.54371528831849
10	-20	40	0.025242467885811422
10	20	40	0.54371528831849
10	-20	45	0.025242467885811422
10	20	45	0.54371528831849
10	-20	50	0.025242467885811422
10	20	50	0.54371528831849
10	-20	-5	0.025242467885811422
10	-20	5	0.025242467885811422
10	20	-5	0.54371528831849
10	20	5	0.54371528831849
10	-20	55	0.025242467885811422
10	20	55	0.54371528831849
10	-20	60	0.025242467885811422
10	20	60	0.54371528831849
10	-30	00	0.011714567204680811
10	30	00	1.1145641947964982
10	-30	-10	0.011714567204680811
10	-30	10	0.011714567204680811
10	30	-10	1.1145641947964982
10	30	10	1.1145641947964982
10	-30	15	0.011714567204680811
10	30	15	1.1145641947964982
10	-30	20	0.011714567204680811
10	30	20	1.1145641947964982
10	-30	25	0.011714567204680811
10	30	25	1.1145641947964982
10	-30	30	0.011714567204680811
10	30	30	1.1145641947964982
10	-30	35	0.011714567204680811
10	30	35	1.1145641947964982
10	-30	40	0.011714567204680811
10	30	40	1.1145641947964982
10	-30	45	0.011714567204680811
10	30	45	1.1145641947964982
10	-30	50	0.011714567204680811
10	30	50	1.1145641947964982
10	-30	-5	0.011714567204680811
10	-30	5	0.011714567204680811
10	30	-5	1.1145641947964982
10	30	5	1.1145641947964982
10	-30	55	0.011714567204680811
10	30	55	1.1145641947964982
10	-30	60	0.011714567204680811
10	30	60	1.1145641947964982
15	00	00	0.25239417149971377
15	00	-10	0.25239417149971377
15	00	10	0.25239417149971377
15	00	15	0.25239417149971377
15	00	20	0.25239417149971377
15	00	25	0.25239417149971377
15	00	30	0.25239417149971377
15	00	35	0.25239417149971377
15	00	40	0.25239417149971377
15	00	45	0.25239417149971377
15	00	50	0.25239417149971377
15	00	-5	0.25239417149971377
15	00	5	0.25239417149971377
15	00	55	0.25239417149971377
15	00	60	0.25239417149971377
15	-10	00	0.11715549090054386
15	10	00	0.5437085565433833
15	-10	-10	0.11715549090054386
15	-10	10	0.11715549090054386
15	10	-10	0.5437085565433833
15	10	10	0.5437085565433833
15	-10	15	0.11715549090054386
15	10	15	0.5437085565433833
