Z	n	M	chi	Tg	Td
100	10	-30	-10	66.52870079912609	10.151345435370002
100	10	-30	-5	99.92983231926424	12.514499934694784
100	10	-30	0	187.8413387938207	15.426734693374694
100	10	-30	5	427.1356443409526	19.01775373778201
100	10	-30	10	906.4153865797092	23.445343323128437
100	10	-30	15	1591.958478963732	28.90484870259804
100	10	-30	20	2375.887263353686	35.64070825384558
100	10	-30	25	3129.8296686418457	43.97425860920432
100	10	-30	30	3769.108686964693	54.36309901049992
100	10	-30	35	4254.582624588204	67.51465707732974
100	10	-30	40	4490.871549832417	84.60482335041607
100	10	-30	45	4477.63613348406	107.57233005799618
100	10	-30	50	4240.649801698511	139.05834904327315
100	10	-30	55	3854.1919600255305	181.003047172617
100	10	-30	60	3377.101771902512	233.49677804443084
100	10	-20	-10	69.41126804696225	10.142457020255035
100	10	-20	-5	103.97530826642084	12.502152908212071
100	10	-20	0	193.88838868254663	15.410325559064782
100	10	-20	5	429.52069432544897	18.995859887450116
100	10	-20	10	913.1979477079956	23.41791739573898
100	10	-20	15	1606.761959086484	28.87118397843717
100	10	-20	20	2359.466423935552	35.598427398023
100	10	-20	25	3138.2521595620124	43.92254903770596
100	10	-20	30	3772.328757602142	54.29761592706169
100	10	-20	35	4240.378659486074	67.43132245009683
100	10	-20	40	4488.779472744247	84.49566052589368
100	10	-20	45	4463.609203111003	107.42260238040502
100	10	-20	50	4241.571692705734	138.85798402616848
100	10	-20	55	3858.414820451249	180.74766322658067
100	10	-20	60	3379.2146738707343	233.17565559656043
100	10	-10	-10	72.12582428435205	10.123064668122687
100	10	-10	-5	107.89466107461396	12.477513038284842
100	10	-10	0	195.7804498568907	15.376522288506868
100	10	-10	5	426.6781675364071	18.949911379189647
100	10	-10	10	897.9220283730498	23.35830136403812
100	10	-10	15	1595.8422020777018	28.798300555619992
100	10	-10	20	2366.5436689616163	35.50830249468459
100	10	-10	25	3102.564095451815	43.80909272634541
100	10	-10	30	3799.220570072713	54.16005676863119
100	10	-10	35	4268.428510756469	67.25609658646017
100	10	-10	40	4477.135962139896	84.26030829901585
100	10	-10	45	4484.78006817911	107.11218530737344
100	10	-10	50	4243.808000373366	138.4271094065477
100	10	-10	55	3862.909988455968	180.1959933621737
100	10	-10	60	3385.6861166256035	232.50855023352136
100	10	0	-10	74.39350728437134	10.082952992476253
100	10	0	-5	112.21611974959444	12.427128165843726
100	10	0	0	191.33968120697256	15.306155863193924
100	10	0	5	412.4066022299589	18.85603056065736
100	10	0	10	891.8412723886587	23.23586773542964
100	10	0	15	1570.604652666725	28.642337590349108
100	10	0	20	2350.2668192270944	35.31678786222833
100	10	0	25	3114.472886371195	43.5739182414497
100	10	0	30	3764.521056309216	53.86098105816177
100	10	0	35	4245.994639494758	66.87593101648953
100	10	0	40	4470.98354135761	83.76038993661706
100	10	0	45	4463.641414818422	106.42800974211129
100	10	0	50	4251.847725513905	137.51855898609224
100	10	0	55	3868.429535695943	179.0012997463144
100	10	0	60	3396.373398802844	231.0545990375078
100	10	10	-10	76.14299754096932	10.00100717109752
100	10	10	-5	115.0045807244037	12.323650377351104
100	10	10	0	187.7278559917483	15.167472395420972
100	10	10	5	389.33407598783526	18.66643262723275
100	10	10	10	849.3965080618963	22.97954636631557
100	10	10	15	1525.1779113546922	28.315035719785094
100	10	10	20	2316.087007332801	34.913559288114264
100	10	10	25	3070.156692561396	43.06993843928519
100	10	10	30	3745.0220429570168	53.239836611764005
100	10	10	35	4206.385886598511	66.07333089634324
100	10	10	40	4472.159629222414	82.72509277599801
100	10	10	45	4468.883124649462	105.02311008051316
100	10	10	50	4255.020868229233	135.589120840091
100	10	10	55	3891.622764023983	176.55945504417195
100	10	10	60	3421.6547770740767	227.979417075885
100	10	20	-10	76.22698623829113	9.837316003623355
100	10	20	-5	117.09458912533836	12.12605729852663
100	10	20	0	186.13641457089403	14.91211495998475
100	10	20	5	361.09137662307535	18.319098962691235
100	10	20	10	777.4228503931398	22.490864416833325
100	10	20	15	1454.275650822575	27.663407829209387
100	10	20	20	2230.9576390301827	34.088470311541016
100	10	20	25	3050.3415502936405	42.066817739637536
100	10	20	30	3689.695420892253	51.97750703221063
100	10	20	35	4179.560321841518	64.477181160586
100	10	20	40	4454.896981426826	80.64238215163068
100	10	20	45	4482.393889672422	102.217135566523
100	10	20	50	4282.37254993857	131.72847854723307
100	10	20	55	3929.161961298757	171.50468388762994
100	10	20	60	3470.543826441579	221.98699606493048
100	10	30	-10	74.32235011678743	9.553249865528263
100	10	30	-5	116.32905890315294	11.78687174263944
100	10	30	0	182.91691386060543	14.493555977844228
100	10	30	5	320.06421092153755	17.757939200771126
100	10	30	10	697.8816107798676	21.744660130351345
