  NDS= 4
  lambda [um]  A(l)/AV tot  A(l)/AV D1   A(l)/AV D2   A(l)/AV D3   A(l)/AV D4
  -----------  -----------  -----------  -----------  -----------  -----------
  3.10000E+03  1.65605E-05  1.01940E-05  6.31512E-06  2.51252E-08  2.62080E-08
  2.40000E+03  2.43108E-05  1.49648E-05  9.27067E-06  3.68837E-08  3.84733E-08
  1.80000E+03  3.74293E-05  2.30398E-05  1.42734E-05  5.67862E-08  5.92335E-08
  1.30000E+03  6.09836E-05  3.75382E-05  2.32564E-05  9.25202E-08  9.65075E-08
  1.00000E+03  9.03944E-05  5.56401E-05  3.44741E-05  1.37136E-07  1.43046E-07
  8.50000E+02  1.15353E-04  7.10002E-05  4.39948E-05  1.74994E-07  1.82536E-07
  7.00000E+02  1.54360E-04  9.50038E-05  5.88779E-05  2.34156E-07  2.44247E-07
  5.50000E+02  2.21664E-04  1.36409E-04  8.45678E-05  3.36208E-07  3.50697E-07
  4.20000E+02  3.32267E-04  2.04416E-04  1.26822E-04  5.03823E-07  5.25536E-07
  3.00000E+02  5.50823E-04  3.38615E-04  2.10503E-04  8.34584E-07  8.70551E-07
  2.40000E+02  7.70584E-04  4.73230E-04  2.94971E-04  1.16637E-06  1.21663E-06
  1.88400E+02  1.11019E-03  6.80405E-04  4.26355E-04  1.67699E-06  1.74926E-06
  1.77800E+02  1.21179E-03  7.42150E-04  4.65902E-04  1.82917E-06  1.90800E-06
  1.67900E+02  1.32162E-03  8.08748E-04  5.08796E-04  1.99331E-06  2.07922E-06
  1.58500E+02  1.44230E-03  8.81750E-04  5.56113E-04  2.17324E-06  2.26690E-06
  1.49600E+02  1.57470E-03  9.61595E-04  6.08263E-04  2.37003E-06  2.47217E-06
  1.41300E+02  1.71777E-03  1.04755E-03  6.64945E-04  2.58189E-06  2.69316E-06
  1.33400E+02  1.87566E-03  1.14197E-03  7.27933E-04  2.81461E-06  2.93591E-06
  1.25900E+02  2.04970E-03  1.24552E-03  7.97906E-04  3.06982E-06  3.20212E-06
  1.18900E+02  2.23829E-03  1.35712E-03  8.74341E-04  3.34487E-06  3.48902E-06
  1.12200E+02  2.44803E-03  1.48048E-03  9.60093E-04  3.64890E-06  3.80616E-06
  1.05900E+02  2.67757E-03  1.61454E-03  1.05490E-03  3.97931E-06  4.15080E-06
  1.00000E+02  2.92787E-03  1.75951E-03  1.15950E-03  4.33662E-06  4.52352E-06
  9.44100E+01  3.20429E-03  1.91808E-03  1.27655E-03  4.72743E-06  4.93116E-06
  8.91300E+01  3.50914E-03  2.09102E-03  1.40759E-03  5.15366E-06  5.37576E-06
  8.41400E+01  3.84603E-03  2.27977E-03  1.55478E-03  5.61886E-06  5.86101E-06
  7.94300E+01  4.21837E-03  2.48553E-03  1.72033E-03  6.12597E-06  6.38998E-06
  7.49900E+01  4.62975E-03  2.70952E-03  1.90659E-03  6.67801E-06  6.96580E-06
  7.07900E+01  5.08613E-03  2.95420E-03  2.11705E-03  7.28105E-06  7.59483E-06
  6.68300E+01  5.59089E-03  3.22064E-03  2.35403E-03  7.93770E-06  8.27978E-06
  6.31000E+01  6.14800E-03  3.51041E-03  2.61992E-03  8.65183E-06  9.02468E-06
  5.95700E+01  6.76464E-03  3.82703E-03  2.91834E-03  9.43214E-06  9.83863E-06
  5.62300E+01  7.44591E-03  4.17305E-03  3.25184E-03  1.02849E-05  1.07281E-05
  5.30900E+01  8.19138E-03  4.54872E-03  3.61975E-03  1.12107E-05  1.16938E-05
  5.01200E+01  9.00924E-03  4.95901E-03  4.02526E-03  1.22218E-05  1.27485E-05
  4.73200E+01  9.90031E-03  5.40565E-03  4.46743E-03  1.33225E-05  1.38966E-05
  4.46700E+01  1.08707E-02  5.89380E-03  4.94719E-03  1.45254E-05  1.51514E-05
  4.42790E+01  1.10259E-02  5.97205E-03  5.02375E-03  1.47182E-05  1.53525E-05
  4.27520E+01  1.16624E-02  6.29489E-03  5.33580E-03  1.55138E-05  1.61823E-05
  4.13270E+01  1.23051E-02  6.62331E-03  5.64848E-03  1.63230E-05  1.70265E-05
  3.99940E+01  1.29529E-02  6.95724E-03  5.96065E-03  1.71459E-05  1.78848E-05
  3.87440E+01  1.36047E-02  7.29669E-03  6.27128E-03  1.79823E-05  1.87573E-05
  3.75700E+01  1.42595E-02  7.64142E-03  6.57958E-03  1.88317E-05  1.96433E-05
  3.64650E+01  1.49173E-02  7.99144E-03  6.88561E-03  1.96942E-05  2.05429E-05
  3.54230E+01  1.55784E-02  8.34670E-03  7.18963E-03  2.05695E-05  2.14560E-05
  3.44390E+01  1.62417E-02  8.70705E-03  7.49079E-03  2.14573E-05  2.23821E-05
  3.35080E+01  1.69081E-02  9.07252E-03  7.78989E-03  2.23578E-05  2.33213E-05
  3.26260E+01  1.75790E-02  9.44298E-03  8.08848E-03  2.32705E-05  2.42734E-05
  3.17900E+01  1.82565E-02  9.81801E-03  8.38901E-03  2.41945E-05  2.52371E-05
  3.09950E+01  1.89428E-02  1.01983E-02  8.69322E-03  2.51313E-05  2.62143E-05
  3.02390E+01  1.96371E-02  1.05832E-02  9.00065E-03  2.60796E-05  2.72035E-05
  2.95190E+01  2.03405E-02  1.09729E-02  9.31242E-03  2.70395E-05  2.82048E-05
  2.88330E+01  2.07665E-02  1.15280E-02  9.18235E-03  2.74710E-05  2.87004E-05
  2.81770E+01  2.11937E-02  1.21015E-02  9.03522E-03  2.78446E-05  2.91418E-05
  2.75510E+01  2.16483E-02  1.26943E-02  8.89637E-03  2.81574E-05  2.95239E-05
  2.69520E+01  2.21280E-02  1.32996E-02  8.77011E-03  2.84276E-05  2.98661E-05
  2.63790E+01  2.26291E-02  1.39172E-02  8.65302E-03  2.87132E-05  3.02264E-05
  2.58290E+01  2.31736E-02  1.45601E-02  8.55388E-03  2.90508E-05  3.06416E-05
  2.53020E+01  2.37792E-02  1.52398E-02  8.47867E-03  2.95748E-05  3.12460E-05
  2.47960E+01  2.44518E-02  1.59576E-02  8.43138E-03  3.05530E-05  3.23077E-05
  2.43100E+01  2.50885E-02  1.66178E-02  8.40355E-03  3.26236E-05  3.44644E-05
  2.38420E+01  2.57769E-02  1.73078E-02  8.39193E-03  3.76494E-05  3.95799E-05
  2.33930E+01  2.65463E-02  1.80486E-02  8.39653E-03  4.95765E-05  5.15997E-05
  2.29590E+01  2.72792E-02  1.87474E-02  8.41861E-03  5.54946E-05  5.76142E-05
  2.25420E+01  2.81004E-02  1.95480E-02  8.45709E-03  4.65781E-05  4.87977E-05
  2.21390E+01  2.90552E-02  2.04446E-02  8.51206E-03  4.81101E-05  5.04338E-05
  2.17510E+01  2.99493E-02  2.12315E-02  8.58116E-03  6.70662E-05  6.94973E-05
  2.13760E+01  3.09301E-02  2.20226E-02  8.66319E-03  1.20922E-04  1.23466E-04
  2.10140E+01  3.19092E-02  2.29107E-02  8.76004E-03  1.17909E-04  1.20567E-04
  2.06630E+01  3.27847E-02  2.37860E-02  8.86814E-03  6.38762E-05  6.66528E-05
  2.03250E+01  3.37261E-02  2.46505E-02  8.98786E-03  4.24463E-05  4.53472E-05
  1.99970E+01  3.49053E-02  2.57162E-02  9.11782E-03  3.41353E-05  3.71647E-05
  1.96790E+01  3.60370E-02  2.67128E-02  9.25958E-03  3.07290E-05  3.38922E-05
