  NDS= 4
  lambda [um]  A(l)/AV tot  A(l)/AV D1   A(l)/AV D2   A(l)/AV D3   A(l)/AV D4
  1.93720E+01  3.70533E-02  2.75811E-02  9.40887E-03  3.00428E-05  3.33444E-05
  1.90740E+01  3.79039E-02  2.82744E-02  9.56148E-03  3.22881E-05  3.57332E-05
  1.87850E+01  3.85783E-02  2.87753E-02  9.71842E-03  4.04965E-05  4.40902E-05
  1.85050E+01  3.90497E-02  2.90373E-02  9.88284E-03  6.28711E-05  6.66197E-05
  1.82320E+01  3.92921E-02  2.90841E-02  1.00524E-02  7.58642E-05  7.97750E-05
  1.79680E+01  3.92910E-02  2.89620E-02  1.02283E-02  4.83390E-05  5.24154E-05
  1.77110E+01  3.91289E-02  2.86511E-02  1.04075E-02  3.30501E-05  3.72994E-05
  1.74620E+01  3.87910E-02  2.81423E-02  1.05903E-02  2.69591E-05  3.13877E-05
  1.72190E+01  3.83241E-02  2.74936E-02  1.07769E-02  2.44958E-05  2.91110E-05
  1.69840E+01  3.78091E-02  2.67883E-02  1.09673E-02  2.43209E-05  2.91294E-05
  1.67540E+01  3.72430E-02  2.60214E-02  1.11595E-02  2.84946E-05  3.35048E-05
  1.65310E+01  3.66603E-02  2.51703E-02  1.13525E-02  6.61313E-05  7.13505E-05
  1.63130E+01  3.60228E-02  2.42760E-02  1.15484E-02  9.64817E-05  1.01917E-04
  1.61010E+01  3.52088E-02  2.34023E-02  1.17417E-02  2.95573E-05  3.52197E-05
  1.58950E+01  3.45371E-02  2.25506E-02  1.19367E-02  2.19702E-05  2.78659E-05
  1.56940E+01  3.39084E-02  2.17296E-02  1.21332E-02  1.97223E-05  2.58614E-05
  1.54980E+01  3.33247E-02  2.09490E-02  1.23319E-02  1.87406E-05  2.51318E-05
  1.53060E+01  3.27800E-02  2.02049E-02  1.25320E-02  1.82302E-05  2.48845E-05
  1.51200E+01  3.23113E-02  1.95325E-02  1.27360E-02  1.79502E-05  2.48751E-05
  1.49370E+01  3.19113E-02  1.89264E-02  1.29420E-02  1.78244E-05  2.50322E-05
  1.44160E+01  3.10421E-02  1.74149E-02  1.35830E-02  1.80713E-05  2.61800E-05
  1.39300E+01  3.17199E-02  1.74584E-02  1.42136E-02  1.94347E-05  2.85001E-05
  1.37760E+01  3.24545E-02  1.79880E-02  1.44165E-02  2.03216E-05  2.96977E-05
  1.36240E+01  3.34234E-02  1.87567E-02  1.46138E-02  2.16288E-05  3.12958E-05
  1.34760E+01  3.45376E-02  1.96703E-02  1.48102E-02  2.36211E-05  3.35266E-05
  1.33310E+01  3.57356E-02  2.06642E-02  1.50077E-02  2.68638E-05  3.68976E-05
  1.31890E+01  3.70077E-02  2.17293E-02  1.52032E-02  3.26747E-05  4.25848E-05
  1.30510E+01  3.83029E-02  2.28079E-02  1.53969E-02  4.44573E-05  5.36233E-05
  1.29150E+01  3.96977E-02  2.39518E-02  1.55930E-02  7.31768E-05  7.98024E-05
  1.27810E+01  4.13563E-02  2.52689E-02  1.57986E-02  1.44667E-04  1.44171E-04
  1.26510E+01  4.29964E-02  2.66597E-02  1.60072E-02  1.65848E-04  1.63679E-04
  1.25230E+01  4.44728E-02  2.80658E-02  1.62195E-02  9.04855E-05  9.70693E-05
  1.23980E+01  4.60448E-02  2.94826E-02  1.64361E-02  5.76319E-05  6.83944E-05
  1.22750E+01  4.76447E-02  3.08775E-02  1.66583E-02  4.82440E-05  6.06324E-05
  1.21550E+01  4.93566E-02  3.23517E-02  1.68903E-02  5.09983E-05  6.35675E-05
  1.20370E+01  5.12959E-02  3.40240E-02  1.71246E-02  6.82873E-05  7.90398E-05
  1.19210E+01  5.33607E-02  3.57876E-02  1.73699E-02  9.79610E-05  1.05213E-04
  1.18080E+01  5.53393E-02  3.75506E-02  1.76055E-02  8.63486E-05  9.68217E-05
  1.16960E+01  5.73312E-02  3.93174E-02  1.78536E-02  7.28118E-05  8.73807E-05
  1.15870E+01  5.93116E-02  4.09399E-02  1.81833E-02  8.63074E-05  1.02046E-04
  1.14800E+01  6.06058E-02  4.25751E-02  1.77246E-02  1.46256E-04  1.59836E-04
  1.13740E+01  6.32795E-02  4.43725E-02  1.82227E-02  3.40864E-04  3.43466E-04
  1.12710E+01  6.56317E-02  4.62490E-02  1.84480E-02  4.69415E-04  4.65246E-04
  1.11690E+01  6.73302E-02  4.82672E-02  1.86446E-02  2.02128E-04  2.16264E-04
  1.10700E+01  6.93738E-02  5.03199E-02  1.88340E-02  9.88905E-05  1.21013E-04
  1.09720E+01  7.14989E-02  5.23290E-02  1.90196E-02  6.21958E-05  8.81897E-05
  1.08750E+01  7.37725E-02  5.44500E-02  1.92016E-02  4.60590E-05  7.47404E-05
  1.07810E+01  7.63148E-02  5.68273E-02  1.93807E-02  3.78967E-05  6.88489E-05
  1.06880E+01  7.89902E-02  5.93296E-02  1.95610E-02  3.32092E-05  6.63537E-05
  1.05970E+01  8.18511E-02  6.20104E-02  1.97445E-02  3.03746E-05  6.57270E-05
  1.05070E+01  8.49434E-02  6.49177E-02  1.99308E-02  2.85836E-05  6.62524E-05
  1.04190E+01  8.77083E-02  6.74862E-02  2.01271E-02  2.74532E-05  6.75635E-05
  1.03320E+01  9.00139E-02  6.95879E-02  2.03298E-02  2.67497E-05  6.94879E-05
  1.01620E+01  9.34197E-02  7.25874E-02  2.07312E-02  2.61830E-05  7.48475E-05
  1.00800E+01  9.48716E-02  7.38291E-02  2.09381E-02  2.61933E-05  7.81838E-05
  9.99840E+00  9.63490E-02  7.50854E-02  2.11553E-02  2.63536E-05  8.20287E-05
  9.91840E+00  9.79406E-02  7.64466E-02  2.13810E-02  2.66507E-05  8.63701E-05
  9.83970E+00  9.96232E-02  7.78922E-02  2.16127E-02  2.70746E-05  9.12644E-05
  9.76220E+00  1.01375E-01  7.94020E-02  2.18491E-02  2.76184E-05  9.67843E-05
  9.68600E+00  1.03084E-01  8.08740E-02  2.20785E-02  2.82877E-05  1.03010E-04
  9.61090E+00  1.04533E-01  8.21013E-02  2.22930E-02  2.90941E-05  1.10078E-04
  9.53690E+00  1.05525E-01  8.28829E-02  2.24937E-02  3.00541E-05  1.18142E-04
  9.46410E+00  1.05861E-01  8.30261E-02  2.26759E-02  3.11910E-05  1.27396E-04
  9.39240E+00  1.05460E-01  8.24482E-02  2.28416E-02  3.25354E-05  1.38107E-04
  9.32180E+00  1.04238E-01  8.10542E-02  2.29987E-02  3.41333E-05  1.50640E-04
  9.25230E+00  1.02266E-01  7.89125E-02  2.31522E-02  3.60556E-05  1.65488E-04
  9.18370E+00  9.96046E-02  7.60750E-02  2.33078E-02  3.84008E-05  1.83398E-04
  9.11620E+00  9.64480E-02  7.27276E-02  2.34737E-02  4.13020E-05  2.05329E-04
  9.04970E+00  9.29958E-02  6.90689E-02  2.36491E-02  4.49740E-05  2.32799E-04
  8.98410E+00  8.93840E-02  6.52457E-02  2.38206E-02  4.97274E-05  2.68054E-04
  8.91940E+00  8.58366E-02  6.14776E-02  2.39886E-02  5.60377E-05  3.14432E-04
  8.85570E+00  8.25189E-02  5.79263E-02  2.41516E-02  6.45375E-05  3.76439E-04
  8.79290E+00  7.94865E-02  5.46356E-02  2.43155E-02  7.59826E-05  4.59383E-04
  8.73100E+00  7.67679E-02  5.16339E-02  2.44790E-02  9.05302E-05  5.64455E-04
  8.67000E+00  7.44174E-02  4.89964E-02  2.46390E-02  1.05936E-04  6.76037E-04
  8.60970E+00  7.22714E-02  4.65940E-02  2.48102E-02  1.16019E-04  7.51222E-04
  8.55040E+00  7.02882E-02  4.44406E-02  2.49785E-02  1.15541E-04  7.53586E-04
  8.49180E+00  6.83327E-02  4.23565E-02  2.51623E-02  1.07768E-04  7.06100E-04
  8.43400E+00  6.63793E-02  4.02627E-02  2.53600E-02  9.95936E-05  6.57011E-04
  8.37700E+00  6.43478E-02  3.80583E-02  2.55638E-02  9.45467E-05  6.31197E-04
  8.32080E+00  6.21381E-02  3.56531E-02  2.57593E-02  9.31405E-05  6.32533E-04
  8.26540E+00  5.98478E-02  3.31564E-02  2.59381E-02  9.49495E-05  6.58362E-04
  8.21060E+00  5.74946E-02  3.05666E-02  2.61224E-02  9.95320E-05  7.06117E-04
  8.15660E+00  5.50808E-02  2.78827E-02  2.63172E-02  1.06621E-04  7.74265E-04
  8.10330E+00  5.27350E-02  2.52277E-02  2.65287E-02  1.16102E-04  8.62479E-04
  8.05070E+00  5.05807E-02  2.27368E-02  2.67454E-02  1.27917E-04  9.70664E-04
  7.99870E+00  4.87349E-02  2.05204E-02  2.69742E-02  1.41960E-04  1.09823E-03
  7.94750E+00  4.71755E-02  1.85652E-02  2.72108E-02  1.57830E-04  1.24167E-03
  7.89680E+00  4.57987E-02  1.67821E-02  2.74467E-02  1.74838E-04  1.39494E-03
  7.84690E+00  4.45833E-02  1.51802E-02  2.76666E-02  1.91511E-04  1.54491E-03
  7.79750E+00  4.35004E-02  1.37478E-02  2.78720E-02  2.05965E-04  1.67464E-03
  7.74880E+00  4.25258E-02  1.24858E-02  2.80609E-02  2.15860E-04  1.76320E-03
  7.70060E+00  4.16402E-02  1.13905E-02  2.82359E-02  2.19397E-04  1.79439E-03
  7.65310E+00  4.08345E-02  1.04595E-02  2.83969E-02  2.15899E-04  1.76218E-03
  7.60620E+00  4.00868E-02  9.66899E-03  2.85374E-02  2.06210E-04  1.67413E-03
  7.55980E+00  3.94058E-02  8.99617E-03  2.86705E-02  1.92178E-04  1.54692E-03
  7.51400E+00  3.87936E-02  8.42201E-03  2.87953E-02  1.76000E-04  1.40028E-03
  7.42400E+00  3.79339E-02  7.61803E-03  2.90640E-02  1.43787E-04  1.10807E-03
  7.37980E+00  3.76897E-02  7.35970E-03  2.92212E-02  1.29595E-04  9.79120E-04
  7.33610E+00  3.75288E-02  7.15742E-03  2.93887E-02  1.17123E-04  8.65559E-04
  7.29300E+00  3.74081E-02  6.98159E-03  2.95526E-02  1.06381E-04  7.67533E-04
  7.25030E+00  3.73283E-02  6.83995E-03  2.97078E-02  9.71776E-05  6.83339E-04
  7.20820E+00  3.73080E-02  6.74313E-03  2.98636E-02  8.93949E-05  6.11804E-04
  7.16650E+00  3.73290E-02  6.67906E-03  3.00163E-02  8.27925E-05  5.50847E-04
  7.12530E+00  3.73828E-02  6.63479E-03  3.01717E-02  7.72134E-05  4.99074E-04
  7.08460E+00  3.74504E-02  6.59787E-03  3.03250E-02  7.25048E-05  4.55119E-04
  7.04430E+00  3.75328E-02  6.57025E-03  3.04764E-02  6.85293E-05  4.17682E-04
  7.00450E+00  3.76361E-02  6.55840E-03  3.06266E-02  6.51897E-05  3.85917E-04
  6.96520E+00  3.77517E-02  6.55511E-03  3.07752E-02  6.24027E-05  3.59017E-04
  6.92630E+00  3.78812E-02  6.55539E-03  3.09294E-02  6.00855E-05  3.36286E-04
  6.88780E+00  3.80259E-02  6.55483E-03  3.10956E-02  5.81822E-05  3.17231E-04
  6.84970E+00  3.81928E-02  6.55987E-03  3.12747E-02  5.66555E-05  3.01500E-04
  6.81210E+00  3.83750E-02  6.56817E-03  3.14625E-02  5.54892E-05  2.88860E-04
  6.77490E+00  3.85778E-02  6.57822E-03  3.16658E-02  5.46511E-05  2.79103E-04
  6.73810E+00  3.87787E-02  6.58789E-03  3.18645E-02  5.41616E-05  2.72205E-04
  6.70160E+00  3.89599E-02  6.59607E-03  3.20417E-02  5.39978E-05  2.68172E-04
  6.59470E+00  3.94720E-02  6.61529E-03  3.25243E-02  5.59690E-05  2.76405E-04
  6.49110E+00  4.01423E-02  6.63024E-03  3.31159E-02  6.38104E-05  3.32401E-04
  6.39070E+00  4.09965E-02  6.63939E-03  3.37660E-02  8.61276E-05  5.05025E-04
  6.29340E+00  4.21751E-02  6.63851E-03  3.43458E-02  1.53066E-04  1.03776E-03
  6.19900E+00  4.36093E-02  6.63146E-03  3.48900E-02  2.53577E-04  1.83429E-03
  6.10740E+00  4.30778E-02  6.61615E-03  3.52960E-02  1.51817E-04  1.01379E-03
  5.98940E+00  4.27957E-02  6.59133E-03  3.57370E-02  7.51166E-05  3.92205E-04
  5.90380E+00  4.30501E-02  6.57876E-03  3.61649E-02  5.78405E-05  2.48573E-04
  5.79350E+00  4.35345E-02  6.57471E-03  3.67439E-02  4.85751E-05  1.67313E-04
  5.61000E+00  4.44743E-02  6.59363E-03  3.77250E-02  4.32671E-05  1.12413E-04
  5.39040E+00  4.60445E-02  6.67317E-03  3.92432E-02  4.19798E-05  8.61345E-05
  5.20930E+00  4.74242E-02  6.78712E-03  4.05191E-02  4.24504E-05  7.55073E-05
  4.99920E+00  4.94916E-02  6.98531E-03  4.23938E-02  4.38624E-05  6.86975E-05
  4.80540E+00  5.08774E-02  7.22735E-03  4.35391E-02  4.56712E-05  6.53204E-05
  4.59190E+00  5.27571E-02  7.56796E-03  4.50771E-02  4.82566E-05  6.37587E-05
  4.39650E+00  5.46808E-02  7.95708E-03  4.66089E-02  5.10936E-05  6.37263E-05
  4.20270E+00  5.71595E-02  8.42759E-03  4.86126E-02  5.44175E-05  6.47971E-05
  3.99940E+00  6.02731E-02  8.99477E-03  5.11530E-02  5.84782E-05  6.69265E-05
  3.93590E+00  6.11241E-02  9.19047E-03  5.18059E-02  5.99143E-05  6.78183E-05
  3.87440E+00  6.17868E-02  9.39319E-03  5.22635E-02  6.13511E-05  6.87473E-05
  3.81480E+00  6.24032E-02  9.60360E-03  5.26670E-02  6.28489E-05  6.97577E-05
  3.75700E+00  6.32256E-02  9.82030E-03  5.32700E-02  6.43948E-05  7.08280E-05
  3.70090E+00  6.40063E-02  1.00443E-02  5.38240E-02  6.60141E-05  7.19615E-05
  3.64650E+00  6.48409E-02  1.02728E-02  5.44272E-02  6.77387E-05  7.31636E-05
  3.59360E+00  6.56420E-02  1.05097E-02  5.49883E-02  6.96040E-05  7.44244E-05
  3.54230E+00  6.64094E-02  1.07542E-02  5.55077E-02  7.17605E-05  7.57975E-05
  3.49240E+00  6.73364E-02  1.10045E-02  5.61801E-02  7.44698E-05  7.73307E-05
  3.44390E+00  6.84624E-02  1.12609E-02  5.70439E-02  7.84910E-05  7.91868E-05
  3.39670E+00  6.93257E-02  1.15229E-02  5.76341E-02  8.66439E-05  8.20037E-05
  3.34180E+00  7.04749E-02  1.18454E-02  5.84042E-02  1.31841E-04  9.34983E-05
  3.32390E+00  7.09772E-02  1.19558E-02  5.87123E-02  1.99769E-04  1.09317E-04
  3.30610E+00  7.15720E-02  1.20668E-02  5.90085E-02  3.52330E-04  1.44343E-04
  3.29730E+00  7.18010E-02  1.21226E-02  5.91559E-02  3.73187E-04  1.49277E-04
  3.29000E+00  7.19163E-02  1.21694E-02  5.92924E-02  3.17621E-04  1.36839E-04
  3.27990E+00  7.20591E-02  1.22335E-02  5.94833E-02  2.26070E-04  1.16301E-04
  3.24560E+00  7.28405E-02  1.24599E-02  6.01745E-02  1.14266E-04  9.17863E-05
  3.20360E+00  7.38292E-02  1.27466E-02  6.09016E-02  9.30011E-05  8.80267E-05
  3.09950E+00  7.59635E-02  1.35317E-02  6.22540E-02  8.80740E-05  8.97617E-05
  3.00190E+00  7.79154E-02  1.44019E-02  6.33292E-02  9.08522E-05  9.33937E-05
  2.80000E+00  8.32172E-02  1.66892E-02  6.63251E-02  1.00180E-04  1.02740E-04
  2.66100E+00  8.81928E-02  1.87419E-02  6.92322E-02  1.08166E-04  1.10494E-04
  2.51200E+00  9.45391E-02  2.15422E-02  7.27591E-02  1.17922E-04  1.19973E-04
  2.37100E+00  1.00213E-01  2.50034E-02  7.49503E-02  1.28657E-04  1.30451E-04
  2.23900E+00  1.07075E-01  2.91643E-02  7.76282E-02  1.40419E-04  1.41977E-04
  2.11300E+00  1.15879E-01  3.42920E-02  8.12789E-02  1.53423E-04  1.54744E-04
  1.99500E+00  1.25821E-01  4.04713E-02  8.50133E-02  1.67483E-04  1.68550E-04
  1.88400E+00  1.35563E-01  4.78772E-02  8.73194E-02  1.83034E-04  1.83748E-04
  1.77800E+00  1.47680E-01  5.68957E-02  9.03834E-02  2.00469E-04  2.00598E-04
  1.67900E+00  1.62309E-01  6.75710E-02  9.42989E-02  2.19921E-04  2.18975E-04
  1.58500E+00  1.79010E-01  8.03713E-02  9.81582E-02  2.41918E-04  2.38930E-04
  1.49600E+00  1.96842E-01  9.56171E-02  1.00697E-01  2.67536E-04  2.60672E-04
  1.41300E+00  2.18412E-01  1.13727E-01  1.04101E-01  2.98749E-04  2.84926E-04
  1.33400E+00  2.44694E-01  1.35770E-01  1.08273E-01  3.38361E-04  3.12175E-04
  1.25900E+00  2.75160E-01  1.62372E-01  1.12055E-01  3.90047E-04  3.43204E-04
  1.18900E+00  3.08592E-01  1.92800E-01  1.14953E-01  4.58145E-04  3.80956E-04
  1.12200E+00  3.45796E-01  2.25984E-01  1.18830E-01  5.53272E-04  4.28026E-04
  1.05900E+00  3.85928E-01  2.61651E-01  1.23103E-01  6.86404E-04  4.87855E-04
  1.00000E+00  4.30145E-01  3.02068E-01  1.26617E-01  8.71641E-04  5.88607E-04
  9.44100E-01  4.80193E-01  3.48254E-01  1.30061E-01  1.13048E-03  7.47422E-04
  8.91300E-01  5.34106E-01  3.97476E-01  1.34161E-01  1.48821E-03  9.80515E-04
  8.41400E-01  5.89587E-01  4.47967E-01  1.38303E-01  1.97705E-03  1.33862E-03
  7.94300E-01  6.41992E-01  4.95768E-01  1.41718E-01  2.63690E-03  1.86983E-03
  7.49900E-01  6.92398E-01  5.40724E-01  1.45554E-01  3.51190E-03  2.60862E-03
  7.07900E-01  7.51354E-01  5.93362E-01  1.49578E-01  4.65842E-03  3.75510E-03
  6.68300E-01  8.26658E-01  6.61797E-01  1.53400E-01  6.13321E-03  5.32785E-03
  6.31000E-01  8.99109E-01  7.27011E-01  1.57044E-01  7.99842E-03  7.05479E-03
  5.95700E-01  9.37288E-01  7.56483E-01  1.60987E-01  1.03361E-02  9.48212E-03
  5.62300E-01  9.73753E-01  7.82967E-01  1.64840E-01  1.32249E-02  1.27206E-02
  5.30900E-01  1.04977E+00  8.48074E-01  1.68678E-01  1.67224E-02  1.62983E-02
  5.01200E-01  1.13350E+00  9.19240E-01  1.72703E-01  2.09246E-02  2.06284E-02
  4.73200E-01  1.14380E+00  9.15424E-01  1.76719E-01  2.58964E-02  2.57558E-02
  4.46700E-01  1.15339E+00  9.09260E-01  1.80739E-01  3.17360E-02  3.16535E-02
  4.21700E-01  1.22404E+00  9.62350E-01  1.84762E-01  3.84946E-02  3.84364E-02
  3.98100E-01  1.28326E+00  1.00216E+00  1.88716E-01  4.62126E-02  4.61681E-02
  3.75800E-01  1.26624E+00  9.63720E-01  1.92692E-01  5.49346E-02  5.48971E-02
  3.54800E-01  1.27687E+00  9.50766E-01  1.96807E-01  6.46648E-02  6.46334E-02
  3.35000E-01  1.34639E+00  9.94189E-01  2.01289E-01  7.54702E-02  7.54436E-02
  3.16200E-01  1.38213E+00  1.00084E+00  2.06316E-01  8.74982E-02  8.74748E-02
  2.98500E-01  1.37983E+00  9.64313E-01  2.11892E-01  1.01810E-01  1.01810E-01
  2.81800E-01  1.41874E+00  9.72454E-01  2.18360E-01  1.13965E-01  1.13965E-01
  2.66100E-01  1.52832E+00  1.03363E+00  2.27224E-01  1.33732E-01  1.33732E-01
  2.51200E-01  1.60401E+00  1.02638E+00  2.40015E-01  1.68808E-01  1.68808E-01
  2.37100E-01  1.73204E+00  1.01092E+00  2.56968E-01  2.32078E-01  2.32078E-01
  2.23900E-01  1.92835E+00  1.03388E+00  2.66438E-01  3.14017E-01  3.14017E-01
  2.11300E-01  1.94795E+00  1.05528E+00  2.53931E-01  3.19368E-01  3.19368E-01
  1.99500E-01  1.72772E+00  1.01669E+00  2.26780E-01  2.42126E-01  2.42126E-01
  1.88400E-01  1.60358E+00  1.03980E+00  2.02642E-01  1.80568E-01  1.80568E-01
  1.77800E-01  1.52794E+00  1.04917E+00  1.85659E-01  1.46557E-01  1.46557E-01
  1.67900E-01  1.46933E+00  1.03654E+00  1.75123E-01  1.28830E-01  1.28830E-01
  1.58500E-01  1.45227E+00  1.03673E+00  1.72945E-01  1.21296E-01  1.21296E-01
  1.49600E-01  1.45828E+00  1.03345E+00  1.80455E-01  1.22187E-01  1.22187E-01
  1.41300E-01  1.48371E+00  1.02748E+00  1.94587E-01  1.30823E-01  1.30823E-01
  1.33400E-01  1.52867E+00  1.02294E+00  2.09929E-01  1.47902E-01  1.47902E-01
