MSFT.O,AAPL.O,NVDA.O,AMZN.O,META.O,GOOGL.O
3.408125,3.167598,3.752039,2.567067,5.185258,2.24349
-1.339609,-1.262973,0.078616,0.454704,-0.821429,0.058071
-1.87156,-2.784729,3.299293,0.259208,3.564998,1.976039
-0.186986,-0.588235,-2.889734,3.592205,2.299374,-0.436332
-0.524541,0.269135,-2.180893,-0.774494,-1.225643,-0.197346
0.564972,-1.562887,-2.253532,-0.011262,5.262433,0.65703
-0.898876,1.239605,0.1638,-0.3792,2.32102,0.455483
1.398337,-0.613169,-0.163532,0.979875,1.341853,-0.200949
0.22363,-3.565251,-0.0819,1.787714,-2.435372,-2.262193
1.190033,-3.154958,-1.803279,-0.30433,-2.738509,0.232285
-0.62477,4.150889,0.918197,-1.092313,-0.830565,-1.343578
0.776627,-0.673793,1.323408,0.576358,0.971524,-0.541115
0.0,-0.533142,-0.653061,0.606329,-1.592568,-0.957375
-0.366972,0.954,-0.493016,-0.709246,3.604181,-0.232786
1.694291,1.829546,0.165153,-0.769829,0.296137,5.496038
0.072438,-12.354938,0.494641,2.055127,0.843608,1.662846
0.904814,-2.357381,1.804758,3.789928,1.480051,-0.021225
0.111191,2.261981,1.611604,-2.799394,2.945466,-0.390091
0.354699,1.876264,-2.141158,-5.683959,-5.171086,0.392951
-0.571225,-0.314225,-0.162075,4.768197,1.461513,0.019902
-1.436266,-0.293326,-0.487013,-2.663108,-0.829065,0.24674
1.748634,-0.410547,0.897227,-0.188324,-4.037959,2.634678
-1.754386,-2.491954,-1.697656,-1.89434,-5.452405,-2.1377
0.200437,3.510612,2.302632,2.657897,1.889075,0.885352
-0.563739,-0.107897,-0.803859,-1.749785,1.431564,0.578525
-0.208486,2.956161,-0.405186,-0.758905,-1.376936,0.490801
0.978631,1.443766,0.650936,0.660954,-0.366492,1.475548
1.125227,1.042149,1.13177,-1.809506,-0.998424,-0.375619
0.071788,-2.506616,-0.639488,0.579293,-3.149328,-0.219831
0.53802,-0.190212,-0.482703,4.163123,1.963829,0.276675
0.035676,-0.089934,2.910267,-0.085353,2.123085,0.633574
-0.10699,-1.378084,0.007855,-1.541376,-0.631579,0.643548
0.946091,-0.036944,-1.382452,1.757894,2.153955,1.760648
-0.623997,-2.421792,-1.393867,-1.238184,-1.617698,-1.783479
-1.363473,-0.621589,-0.726979,-0.17642,-4.142365,0.387401
0.982175,1.064879,1.87144,-0.195533,-0.560789,0.525436
-1.404899,-1.776802,-1.757188,-2.091026,0.516034,-1.117905
0.0,1.393406,1.178862,-0.196252,0.440044,-0.080934
1.6076,-0.980021,1.859337,1.499846,-1.898503,1.221318
-0.035958,-0.713049,0.47619,0.387464,1.414217,0.177549
0.539568,-2.476212,0.394945,0.556249,1.944954,0.622816
0.715564,-2.42061,-0.43273,2.773388,-0.215983,1.899552
0.71048,2.641114,1.145792,0.908059,-0.721501,2.081548
-0.917108,-1.271501,-0.078125,-0.653144,-0.245276,-0.861432
0.177999,1.155847,-0.234558,0.032872,4.099809,0.146263
-0.497512,0.264293,0.470219,0.113188,-2.162503,-0.129234
-0.464286,1.424534,-0.975039,-1.075896,0.643777,0.396864
0.143524,-2.155891,0.35447,1.065477,-1.101635,-0.863659
0.017915,-0.018673,0.0,0.353847,-2.694934,-0.277909
0.788107,0.968834,0.078493,-3.402399,-0.14771,-0.456798
-0.355429,2.580347,-0.862745,-1.475126,-1.460799,-0.881028
0.231853,2.718298,-0.712025,-1.501031,-0.581723,-0.799703
0.284698,-0.269903,-0.63745,-0.573888,0.226501,0.436995
0.479063,-0.530265,1.202887,0.33852,-2.59887,0.417591
-0.723998,0.14378,-1.584786,-1.511206,-0.464037,-0.423219
0.498043,2.027699,0.483092,1.720668,-0.03885,-0.117102
-0.318584,0.361542,-0.560897,-0.671193,-2.328022,-0.082684
-0.017756,-0.527201,0.725222,1.67565,0.294457,0.343362
0.76363,-1.963846,1.2,1.916945,3.511208,-1.201349
0.82834,-2.083702,1.422925,0.448549,-1.954772,-1.05549
0.017479,-3.106221,-3.273578,-1.831213,-0.195465,0.881655
0.664103,0.205638,-1.087832,0.654409,-0.430866,1.47905
-0.833333,0.51141,-1.213849,-1.629944,3.265146,-0.841041
0.122549,-0.988449,0.981362,0.019303,3.133333,-1.380795
0.367197,-1.056766,1.755819,-1.389532,1.172777,-1.511817
-0.383275,0.711248,-0.24077,1.358228,-1.975173,-1.047187
3.567681,0.180662,1.60901,0.845723,-0.964654,0.36136
2.262749,2.039908,1.583531,1.390059,3.685596,1.611265
-4.441876,-0.312149,-0.467654,1.918646,1.623141,0.026576
-0.501123,-1.042986,2.505873,1.11914,-2.20398,-0.043017
-0.347343,-2.31503,-2.062643,-1.887346,-3.211679,-1.027783
0.97595,1.521972,1.092044,1.725684,1.508296,1.463047
-0.500518,-5.499249,-1.350309,-1.813909,-1.09584,-1.362542
-0.121422,-2.668818,-1.916308,-2.984293,-3.511737,-2.127121
3.386593,-0.387706,0.239234,0.346928,0.155703,4.433396
3.578028,2.084347,0.159109,1.240781,0.932763,0.030505
-0.746027,1.871222,2.621128,2.029975,0.038506,0.973111
3.79085,-0.164479,3.405573,-0.044626,0.500385,0.687461
0.566751,0.719673,0.823353,2.202545,0.114899,-0.535248
-0.469631,2.160978,-0.445434,-7.240626,2.716144,-0.949203
2.579427,3.0956,1.193139,-1.989718,0.484171,2.201093
1.502607,2.943365,1.473839,1.629695,2.924388,0.672722
-1.148036,-0.788202,-0.87146,-2.198495,-1.220786,-0.50208
1.344743,1.418198,1.172161,1.740321,5.614291,1.118925
