# R in kpc | sigma in M_sol / pc^2 | lower error | upper error
r Sigma_h2 sigma_Sigma_l sigma_Sigma_u
1.0 2.971245264650528 1.740036266490872 0.9972877439311314
2.0 1.512840554415232 0.48348131232002256 0.4282506822644176
3.0 5.970278356724417 1.4399994905791509 1.3901378925561776
4.0 6.39714990462698 1.8556963721123176 1.672457379920722
5.0 3.2510438016432808 1.115224722128084 1.008923803581922
6.0 3.5999706670308704 1.6381482044536764 1.480860299568646
7.0 1.5589128505709082 0.8106530823117288 0.7285612083323768
8.0 1.2375387461446548 1.5083977347710666 0.8341317719085807
9.0 0.963571418152533 0.28907142544575987 0.28907142544575987
10.0 0.6196245507990137 0.46533522331101573 0.46533522331101573
11.0 0.5356837951690077 0.5455895043707883 0.5455895043707883
12.0 0.2947566901248138 0.305690189662395 0.305690189662395
13.0 0.13802059711823947 0.1586261733289487 0.1586261733289487
14.0 2.1548250197084263e-11 3.259303015653145e-11 3.259303015653145e-11
15.0 2.437864124726004e-11 3.943468685672101e-11 3.943468685672101e-11
