# R in kpc | sigma in M_sol / pc^2 | lower error | upper error
r Sigma_hi sigma_Sigma_l sigma_Sigma_u
0.05 10.752 1.6019 1.6019
0.25 4.064 0.4419 0.4419
0.45 1.236 0.1731 0.1731
0.65 0.964 0.2069 0.2069
0.85 1.411 0.5531 0.5531
1.05 0.764 0.329 0.329
1.25 0.46 0.1052 0.1052
1.45 0.343 0.095 0.095
1.65 0.361 0.1394 0.1394
1.85 0.549 0.2504 0.2504
2.05 0.713 0.3238 0.3238
2.25 0.721 0.3859 0.3859
2.45 1.29 0.4267 0.4267
2.65 1.641 0.6979 0.6979
2.85 2.657 0.9345 0.9345
3.05 4.468 0.8952 0.8952
3.25 4.372 0.5957 0.5957
3.45 3.497 0.6893 0.6893
3.65 3.369 0.7508 0.7508
3.85 2.786 0.2683 0.2683
4.05 4.09 1.2282 1.2282
4.25 5.216 1.5961 1.5961
4.45 6.674 1.1309 1.1309
4.65 4.391 0.4439 0.4439
4.85 3.955 0.8251 0.8251
5.05 3.537 0.4118 0.4118
5.25 3.773 0.5264 0.5264
5.45 4.099 0.7113 0.7113
5.65 3.876 1.4143 1.4143
5.85 5.021 1.3642 1.3642
6.05 4.096 0.7718 0.7718
6.25 6.738 1.4003 1.4003
6.45 7.365 1.337 1.337
6.65 4.318 1.3731 1.3731
6.85 5.23 1.0439 1.0439
7.05 5.189 1.2218 1.2218
7.25 3.935 1.0762 1.0762
7.45 4.719 1.2998 1.2998
7.65 3.016 1.1138 1.1138
7.85 3.836 2.8874 2.8874
8.05 5.431 3.0698 3.0698
8.25 5.197 2.4112 2.4112
9.0 6.537675977359415 1.9613027932078244 1.3240893267152662
10.0 6.48097954524316 1.944293863572948 1.2526011414932368
11.0 6.620152948703296 1.9860458846109887 0.9113776651292694
12.0 6.472098448348683 1.9416295345046048 0.902208234403978
13.0 5.702931489392471 1.7108794468177413 0.9900724890487004
14.0 4.794366065587728 1.4383098196763184 1.080989680080834
15.0 4.160178126625114 1.2480534379875343 1.323514034004869
