r n_hi
-0.01 0.020746593023255815
0.0972 0.020746593023255815
1.1912 0.020746593023255815
2.9903 0.020746593023255815
3.2334 0.02252113953488372
3.5008 0.02478418023255814
3.987 0.02880852906976744
4.4976 0.02880852906976744
8.5089 0.029205296511627905
8.9708 0.03127264534883721
9.5057 0.03348633139534884
9.9919 0.03488906976744186
10.9887 0.03945978488372093
11.9854 0.043424906976744185
12.9822 0.04778845930232558
14.0032 0.037358749999999996
15.0 0.02880852906976744
15.9968 0.02252113953488372
16.9935 0.017605959302325582
17.9903 0.013763500000000001
18.5008 0.011840837209302327
