r n_h2
-0.001 0.6344345357142858
0.0729 0.6344345357142858
0.1945 0.6344345357142858
0.5105 0.6344345357142858
0.59 0.6344345357142858
0.6078 0.007142857142857143
1.5802 0.007142857142857143
1.7 0.007142857142857143
1.7747 0.007753814285714286
1.9935 0.0088904
2.188 0.010620600000000001
2.4068 0.012345128571428571
2.6013 0.014547314285714288
2.7958 0.017142335714285712
2.9903 0.019655128571428572
3.5008 0.02480082142857143
3.987 0.02882787142857143
4.4976 0.031724642857142854
5.0081 0.031724642857142854
5.4943 0.030035464285714283
6.0049 0.026556385714285712
6.4911 0.02163017857142857
7.0016 0.016679721428571426
7.4878 0.014154735714285714
7.9984 0.011848785714285714
8.5089 0.009918507142857143
8.9951 0.008417035714285714
9.5057 0.007045814285714286
9.9919 0.005897985714285714
10.9887 0.004189757142857143
13.0065 0.0020855428571428573
14.0032 0.001481507142857143
15.0 0.0010524214285714286
15.9968 0.0007374500000000001
16.9935 0.0005238642857142858
17.9903 0.0003670785714285714
18.1361 0.0003475357142857143
19.1 0.00014285714285714287
