Z n M chi N(H) N(H2)
100.0 70.0 0.0 40.0 6.24578e+23 3.27762e+23
100.0 70.0 0.0 50.0 3.1541189e+24 
100.0 70.0 0.0 50.0 3.1541189e+24 1.6551981e+24
100.0 70.0 0.0 60.0 6.245779999999995e+23 
100.0 70.0 0.0 60.0 6.245779999999995e+23 3.2776200000000044e+23
100.0 70.0 10.0 10.0 1.34561e+24 7.06141e+23
100.0 70.0 10.0 20.0 1.34561e+24 7.06141e+23
100.0 70.0 10.0 30.0 1.34561e+24 7.06141e+23
100.0 70.0 10.0 40.0 1.34561e+24 7.06141e+23
100.0 70.0 10.0 50.0 1.3456100000000018e+24 
100.0 70.0 10.0 50.0 1.3456100000000018e+24 7.061410000000014e+23
100.0 70.0 10.0 60.0 1.3456100000000018e+24 
100.0 70.0 10.0 60.0 1.3456100000000018e+24 7.061410000000014e+23
100.0 70.0 20.0 10.0 2.89904e+24 1.52133e+24
100.0 70.0 20.0 20.0 2.89904e+24 1.52133e+24
100.0 70.0 20.0 30.0 2.89904e+24 1.52133e+24
100.0 70.0 20.0 40.0 2.89904e+24 1.52133e+24
100.0 70.0 20.0 50.0 2.8990399999999975e+24 
100.0 70.0 20.0 50.0 2.8990399999999975e+24 1.5213299999999977e+24
100.0 70.0 20.0 60.0 2.8990399999999975e+24 
100.0 70.0 20.0 60.0 2.8990399999999975e+24 1.5213299999999977e+24
100.0 70.0 30.0 10.0 6.24578e+24 3.27762e+24
100.0 70.0 30.0 20.0 6.24578e+24 3.27762e+24
100.0 70.0 30.0 30.0 6.24578e+24 3.27762e+24
100.0 70.0 30.0 40.0 6.24578e+24 3.27762e+24
100.0 70.0 30.0 50.0 6.245779999999993e+24 
100.0 70.0 30.0 50.0 6.245779999999993e+24 3.2776200000000084e+24
100.0 70.0 30.0 60.0 6.245779999999993e+24 
100.0 70.0 30.0 60.0 6.245779999999993e+24 3.2776200000000084e+24
