Z n M chi N(H) N(H2)
100.0 30.0 -30.0 10.0 1.34561e+20 7.06141e+19
100.0 30.0 -30.0 20.0 1.34561e+20 7.06141e+19
100.0 30.0 -30.0 30.0 1.34561e+20 7.06141e+19
100.0 30.0 -30.0 40.0 1.34561e+20 7.06141e+19
100.0 30.0 -30.0 50.0 1.34561e+20 7.06141e+19
100.0 30.0 -30.0 60.0 1.34561e+20 7.06141e+19
100.0 30.0 -20.0 10.0 2.89904e+20 1.52133e+20
100.0 30.0 -20.0 20.0 2.89904e+20 1.52133e+20
100.0 30.0 -20.0 30.0 2.89904e+20 1.52133e+20
100.0 30.0 -20.0 40.0 2.89904e+20 1.52133e+20
100.0 30.0 -20.0 50.0 2.89904e+20 1.52133e+20
100.0 30.0 -20.0 60.0 2.89904e+20 1.52133e+20
100.0 30.0 -10.0 10.0 6.24578e+20 3.27762e+20
100.0 30.0 -10.0 20.0 6.24578e+20 3.27762e+20
100.0 30.0 -10.0 30.0 6.24578e+20 3.27762e+20
100.0 30.0 -10.0 40.0 6.24578e+20 3.27762e+20
100.0 30.0 -10.0 50.0 6.24578e+20 3.27762e+20
100.0 30.0 -10.0 60.0 6.24578e+20 3.27762e+20
100.0 30.0 0.0 10.0 1.34561e+21 7.06141e+20
100.0 30.0 0.0 20.0 1.34561e+21 7.06141e+20
100.0 30.0 0.0 30.0 1.34561e+21 7.06141e+20
100.0 30.0 0.0 40.0 1.34561e+21 7.06141e+20
100.0 30.0 0.0 50.0 1.34561e+21 7.06141e+20
100.0 30.0 0.0 60.0 1.34561e+21 7.06141e+20
100.0 30.0 10.0 10.0 2.89904e+21 1.52133e+21
100.0 30.0 10.0 20.0 2.89904e+21 1.52133e+21
100.0 30.0 10.0 30.0 2.89904e+21 1.52133e+21
100.0 30.0 10.0 40.0 2.89904e+21 1.52133e+21
100.0 30.0 10.0 50.0 2.89904e+21 1.52133e+21
100.0 30.0 10.0 60.0 2.89904e+21 1.52133e+21
100.0 30.0 20.0 10.0 6.24578e+21 3.27762e+21
100.0 30.0 20.0 20.0 6.24578e+21 3.27762e+21
100.0 30.0 20.0 30.0 6.24578e+21 3.27762e+21
100.0 30.0 20.0 40.0 6.24578e+21 3.27762e+21
100.0 30.0 20.0 50.0 6.24578e+21 3.27762e+21
100.0 30.0 20.0 60.0 6.24578e+21 3.27762e+21
100.0 30.0 30.0 10.0 1.34561e+22 7.06141e+21
100.0 30.0 30.0 20.0 1.34561e+22 7.06141e+21
100.0 30.0 30.0 30.0 1.34561e+22 7.06141e+21
100.0 30.0 30.0 40.0 1.34561e+22 7.06141e+21
100.0 30.0 30.0 50.0 1.34561e+22 7.06141e+21
100.0 30.0 30.0 60.0 1.34561e+22 7.06141e+21
100.0 40.0 -30.0 10.0 6.24578e+20 3.27762e+20
100.0 40.0 -30.0 20.0 6.24578e+20 3.27762e+20
100.0 40.0 -30.0 30.0 6.24578e+20 3.27762e+20
100.0 40.0 -30.0 40.0 6.24578e+20 3.27762e+20
100.0 40.0 -30.0 50.0 6.24578e+20 3.27762e+20
100.0 40.0 -30.0 60.0 6.24578e+20 3.27762e+20
100.0 40.0 -20.0 10.0 1.34561e+21 7.06141e+20
100.0 40.0 -20.0 20.0 1.34561e+21 7.06141e+20
100.0 40.0 -20.0 30.0 1.34561e+21 7.06141e+20
100.0 40.0 -20.0 40.0 1.34561e+21 7.06141e+20
100.0 40.0 -20.0 50.0 1.34561e+21 7.06141e+20
100.0 40.0 -20.0 60.0 1.34561e+21 7.06141e+20
100.0 40.0 -10.0 10.0 2.89904e+21 1.52133e+21
100.0 40.0 -10.0 20.0 2.89904e+21 1.52133e+21
100.0 40.0 -10.0 30.0 2.89904e+21 1.52133e+21
100.0 40.0 -10.0 40.0 2.89904e+21 1.52133e+21
100.0 40.0 -10.0 50.0 2.89904e+21 1.52133e+21
100.0 40.0 -10.0 60.0 2.89904e+21 1.52133e+21
100.0 40.0 0.0 10.0 6.24578e+21 3.27762e+21
100.0 40.0 0.0 20.0 6.24578e+21 3.27762e+21
100.0 40.0 0.0 30.0 6.24578e+21 3.27762e+21
100.0 40.0 0.0 40.0 6.24578e+21 3.27762e+21
100.0 40.0 0.0 50.0 6.24578e+21 3.27762e+21
100.0 40.0 0.0 60.0 6.24578e+21 3.27762e+21
100.0 40.0 10.0 10.0 1.34561e+22 7.06141e+21
100.0 40.0 10.0 20.0 1.34561e+22 7.06141e+21
100.0 40.0 10.0 30.0 1.34561e+22 7.06141e+21
100.0 40.0 10.0 40.0 1.34561e+22 7.06141e+21
100.0 40.0 10.0 50.0 1.34561e+22 7.06141e+21
100.0 40.0 10.0 60.0 1.34561e+22 7.06141e+21
100.0 40.0 20.0 10.0 2.89904e+22 1.52133e+22
100.0 40.0 20.0 20.0 2.89904e+22 1.52133e+22
100.0 40.0 20.0 30.0 2.89904e+22 1.52133e+22
100.0 40.0 20.0 40.0 2.89904e+22 1.52133e+22
100.0 40.0 20.0 50.0 2.89904e+22 1.52133e+22
100.0 40.0 20.0 60.0 2.89904e+22 1.52133e+22
100.0 40.0 30.0 10.0 6.24578e+22 3.27762e+22
100.0 40.0 30.0 20.0 6.24578e+22 3.27762e+22
100.0 40.0 30.0 30.0 6.24578e+22 3.27762e+22
100.0 40.0 30.0 40.0 6.24578e+22 3.27762e+22
100.0 40.0 30.0 50.0 6.24578e+22 3.27762e+22
100.0 40.0 30.0 60.0 6.24578e+22 3.27762e+22
100.0 50.0 -30.0 10.0 2.89904e+21 1.52133e+21
100.0 50.0 -30.0 20.0 2.89904e+21 1.52133e+21
100.0 50.0 -30.0 30.0 2.89904e+21 1.52133e+21
100.0 50.0 -30.0 40.0 2.89904e+21 1.52133e+21
100.0 50.0 -30.0 50.0 2.89904e+21 1.52133e+21
100.0 50.0 -30.0 60.0 2.89904e+21 1.52133e+21
100.0 50.0 -20.0 10.0 6.24578e+21 3.27762e+21
100.0 50.0 -20.0 20.0 6.24578e+21 3.27762e+21
100.0 50.0 -20.0 30.0 6.24578e+21 3.27762e+21
100.0 50.0 -20.0 40.0 6.24578e+21 3.27762e+21
100.0 50.0 -20.0 50.0 6.24578e+21 3.27762e+21
100.0 50.0 -20.0 60.0 6.24578e+21 3.27762e+21
100.0 50.0 -10.0 10.0 1.34561e+22 7.06141e+21
100.0 50.0 -10.0 20.0 1.34561e+22 7.06141e+21
100.0 50.0 -10.0 30.0 1.34561e+22 7.06141e+21
100.0 50.0 -10.0 40.0 1.34561e+22 7.06141e+21
100.0 50.0 -10.0 50.0 1.34561e+22 7.06141e+21
100.0 50.0 -10.0 60.0 1.34561e+22 7.06141e+21
100.0 50.0 0.0 10.0 2.89904e+22 1.52133e+22
100.0 50.0 0.0 20.0 2.89904e+22 1.52133e+22
100.0 50.0 0.0 30.0 2.89904e+22 1.52133e+22
100.0 50.0 0.0 40.0 2.89904e+22 1.52133e+22
100.0 50.0 0.0 50.0 2.89904e+22 1.52133e+22
100.0 50.0 0.0 60.0 2.89904e+22 1.52133e+22
100.0 50.0 10.0 10.0 6.24578e+22 3.27762e+22
100.0 50.0 10.0 20.0 6.24578e+22 3.27762e+22
100.0 50.0 10.0 30.0 6.24578e+22 3.27762e+22
100.0 50.0 10.0 40.0 6.24578e+22 3.27762e+22
100.0 50.0 10.0 50.0 6.24578e+22 3.27762e+22
100.0 50.0 10.0 60.0 6.24578e+22 3.27762e+22
100.0 50.0 20.0 10.0 1.34561e+23 7.06141e+22
100.0 50.0 20.0 20.0 1.34561e+23 7.06141e+22
100.0 50.0 20.0 30.0 1.34561e+23 7.06141e+22
100.0 50.0 20.0 40.0 1.34561e+23 7.06141e+22
100.0 50.0 20.0 50.0 1.34561e+23 7.06141e+22
100.0 50.0 20.0 60.0 1.34561e+23 7.06141e+22
100.0 50.0 30.0 10.0 2.89904e+23 1.52133e+23
100.0 50.0 30.0 20.0 2.89904e+23 1.52133e+23
100.0 50.0 30.0 30.0 2.89904e+23 1.52133e+23
100.0 50.0 30.0 40.0 2.89904e+23 1.52133e+23
100.0 50.0 30.0 50.0 2.89904e+23 1.52133e+23
100.0 50.0 30.0 60.0 2.89904e+23 1.52133e+23
100.0 60.0 -30.0 10.0 1.34561e+22 7.06141e+21
100.0 60.0 -30.0 20.0 1.34561e+22 7.06141e+21
100.0 60.0 -30.0 30.0 1.34561e+22 7.06141e+21
100.0 60.0 -30.0 40.0 1.34561e+22 7.06141e+21
100.0 60.0 -30.0 50.0 1.34561e+22 7.06141e+21
100.0 60.0 -30.0 60.0 1.34561e+22 7.06141e+21
100.0 60.0 -20.0 10.0 2.89904e+22 1.52133e+22
100.0 60.0 -20.0 20.0 2.89904e+22 1.52133e+22
100.0 60.0 -20.0 30.0 2.89904e+22 1.52133e+22
100.0 60.0 -20.0 40.0 2.89904e+22 1.52133e+22
100.0 60.0 -20.0 50.0 2.89904e+22 1.52133e+22
100.0 60.0 -20.0 60.0 2.89904e+22 1.52133e+22
100.0 60.0 -10.0 10.0 6.24578e+22 3.27762e+22
100.0 60.0 -10.0 20.0 6.24578e+22 3.27762e+22
100.0 60.0 -10.0 30.0 6.24578e+22 3.27762e+22
100.0 60.0 -10.0 40.0 6.24578e+22 3.27762e+22
100.0 60.0 -10.0 50.0 6.24578e+22 3.27762e+22
100.0 60.0 -10.0 60.0 6.24578e+22 3.27762e+22
100.0 60.0 0.0 10.0 1.34561e+23 7.06141e+22
100.0 60.0 0.0 20.0 1.34561e+23 7.06141e+22
100.0 60.0 0.0 30.0 1.34561e+23 7.06141e+22
100.0 60.0 0.0 40.0 1.34561e+23 7.06141e+22
100.0 60.0 0.0 50.0 1.34561e+23 7.06141e+22
100.0 60.0 0.0 60.0 1.34561e+23 7.06141e+22
100.0 60.0 10.0 10.0 2.89904e+23 1.52133e+23
100.0 60.0 10.0 20.0 2.89904e+23 1.52133e+23
100.0 60.0 10.0 30.0 2.89904e+23 1.52133e+23
100.0 60.0 10.0 40.0 2.89904e+23 1.52133e+23
100.0 60.0 10.0 50.0 2.89904e+23 1.52133e+23
100.0 60.0 10.0 60.0 2.8990399999999957e+23 
100.0 60.0 10.0 60.0 2.8990399999999957e+23 1.5213299999999987e+23
100.0 60.0 20.0 10.0 6.24578e+23 3.27762e+23
100.0 60.0 20.0 20.0 6.24578e+23 3.27762e+23
100.0 60.0 20.0 30.0 6.24578e+23 3.27762e+23
100.0 60.0 20.0 40.0 6.24578e+23 3.27762e+23
100.0 60.0 20.0 50.0 6.24578e+23 3.27762e+23
100.0 60.0 20.0 60.0 6.245779999999995e+23 
100.0 60.0 20.0 60.0 6.245779999999995e+23 3.2776200000000044e+23
100.0 60.0 30.0 10.0 1.34561e+24 7.06141e+23
100.0 60.0 30.0 20.0 1.34561e+24 7.06141e+23
100.0 60.0 30.0 30.0 1.34561e+24 7.06141e+23
100.0 60.0 30.0 40.0 1.34561e+24 7.06141e+23
100.0 60.0 30.0 50.0 1.34561e+24 7.06141e+23
100.0 60.0 30.0 60.0 1.3456100000000018e+24 
100.0 60.0 30.0 60.0 1.3456100000000018e+24 7.061410000000014e+23
100.0 70.0 -30.0 10.0 6.24578e+22 3.27762e+22
100.0 70.0 -30.0 20.0 6.24578e+22 3.27762e+22
100.0 70.0 -30.0 30.0 6.24578e+22 3.27762e+22
100.0 70.0 -30.0 40.0 6.24578e+22 3.27762e+22
100.0 70.0 -30.0 50.0 6.24578e+22 3.27762e+22
100.0 70.0 -30.0 60.0 6.24578e+22 3.27762e+22
100.0 70.0 -20.0 10.0 1.34561e+23 7.06141e+22
100.0 70.0 -20.0 20.0 1.34561e+23 7.06141e+22
100.0 70.0 -20.0 30.0 1.34561e+23 7.06141e+22
100.0 70.0 -20.0 40.0 1.34561e+23 7.06141e+22
100.0 70.0 -20.0 50.0 1.34561e+23 7.06141e+22
100.0 70.0 -20.0 60.0 1.3456100000000005e+23 
100.0 70.0 -20.0 60.0 1.3456100000000005e+23 7.061410000000007e+22
100.0 70.0 -10.0 10.0 2.89904e+23 1.52133e+23
100.0 70.0 -10.0 20.0 2.89904e+23 1.52133e+23
100.0 70.0 -10.0 30.0 2.89904e+23 1.52133e+23
100.0 70.0 -10.0 40.0 2.89904e+23 1.52133e+23
100.0 70.0 -10.0 50.0 2.89904e+23 1.52133e+23
100.0 70.0 -10.0 60.0 2.8990399999999957e+23 
100.0 70.0 -10.0 60.0 2.8990399999999957e+23 1.5213299999999987e+23
100.0 70.0 0.0 10.0 6.24578e+23 3.27762e+23
100.0 70.0 0.0 20.0 6.24578e+23 3.27762e+23
100.0 70.0 0.0 30.0 6.24578e+23 3.27762e+23
