# R in kpc | h in pc | lower error in pc | upper error in pc
r h_h2 sigma_h_l sigma_h_u
1.0 21.357118404129086 5.219905484723261 4.782040749451908
2.0 26.556923610747077 2.0597063750398203 2.082821415404308
3.0 30.577600273786235 3.261176549964303 3.3480774066420103
4.0 33.970113147489975 3.599893052848885 3.6797685212066567
5.0 37.30853273843368 3.9276563703722753 3.7265264822279445
6.0 41.165732014372125 4.148295505395217 4.144166804931238
7.0 46.08908311308712 5.614141621322805 5.6538783166945334
8.0 52.57615405123479 10.438371 10.438371
9.0 61.050405433193184 15.262601358298296 15.262601358298296
10.0 71.83688715990976 17.95922178997744 17.95922178997744
11.0 85.13793513774885 21.28448378443721 21.28448378443721
12.0 101.00886798733912 25.252216996834782 25.252216996834782
13.0 119.33368375242112 29.833420938105284 29.833420938105284
14.0 139.80075660869477 34.95018915217369 34.95018915217369
15.0 161.87853357266664 40.46963339316666 40.46963339316666
