Date,EPS Estimate,Reported EPS,Surprise(%)
2023-01-24 01:00:00-05:00,2.23,2.35,0.0541
2022-10-18 02:00:00-04:00,2.47,2.55,0.0316
2022-07-19 02:00:00-04:00,2.54,2.59,0.0215
2022-04-19 02:00:00-04:00,2.56,2.67,0.041299999999999996
2022-01-25 01:00:00-05:00,2.12,2.13,0.006
2021-10-19 02:00:00-04:00,2.35,2.6,0.1057
2021-07-21 02:00:00-04:00,2.27,2.48,0.0942
2021-04-20 02:00:00-04:00,2.34,2.59,0.1082
2021-01-26 01:00:00-05:00,1.82,1.86,0.0215
2020-10-13 02:00:00-04:00,1.98,2.2,0.1128
2020-07-16 02:00:00-04:00,1.49,1.67,0.11720000000000001
2020-04-14 02:00:00-04:00,2.0,2.3,0.1526
