Z n M chi N(H) N(H2)
100 30 -30 10 1.34561e+20 7.06141e+19
100 30 -30 20 1.34561e+20 7.06141e+19
100 30 -30 30 1.34561e+20 7.06141e+19
100 30 -30 40 1.34561e+20 7.06141e+19
100 30 -30 50 1.34561e+20 7.06141e+19
100 30 -30 60 1.34561e+20 7.06141e+19
100 30 -20 10 2.89904e+20 1.52133e+20
100 30 -20 20 2.89904e+20 1.52133e+20
100 30 -20 30 2.89904e+20 1.52133e+20
100 30 -20 40 2.89904e+20 1.52133e+20
100 30 -20 50 2.89904e+20 1.52133e+20
100 30 -20 60 2.89904e+20 1.52133e+20
100 30 -10 10 6.24578e+20 3.27762e+20
100 30 -10 20 6.24578e+20 3.27762e+20
100 30 -10 30 6.24578e+20 3.27762e+20
100 30 -10 40 6.24578e+20 3.27762e+20
100 30 -10 50 6.24578e+20 3.27762e+20
100 30 -10 60 6.24578e+20 3.27762e+20
100 30 0 10 1.34561e+21 7.06141e+20
100 30 0 20 1.34561e+21 7.06141e+20
100 30 0 30 1.34561e+21 7.06141e+20
100 30 0 40 1.34561e+21 7.06141e+20
100 30 0 50 1.34561e+21 7.06141e+20
100 30 0 60 1.34561e+21 7.06141e+20
100 30 10 10 2.89904e+21 1.52133e+21
100 30 10 20 2.89904e+21 1.52133e+21
100 30 10 30 2.89904e+21 1.52133e+21
100 30 10 40 2.89904e+21 1.52133e+21
100 30 10 50 2.89904e+21 1.52133e+21
100 30 10 60 2.89904e+21 1.52133e+21
100 30 20 10 6.24578e+21 3.27762e+21
100 30 20 20 6.24578e+21 3.27762e+21
100 30 20 30 6.24578e+21 3.27762e+21
100 30 20 40 6.24578e+21 3.27762e+21
100 30 20 50 6.24578e+21 3.27762e+21
100 30 20 60 6.24578e+21 3.27762e+21
100 30 30 10 1.34561e+22 7.06141e+21
100 30 30 20 1.34561e+22 7.06141e+21
100 30 30 30 1.34561e+22 7.06141e+21
100 30 30 40 1.34561e+22 7.06141e+21
100 30 30 50 1.34561e+22 7.06141e+21
100 30 30 60 1.34561e+22 7.06141e+21
100 40 -30 10 6.24578e+20 3.27762e+20
100 40 -30 20 6.24578e+20 3.27762e+20
100 40 -30 30 6.24578e+20 3.27762e+20
100 40 -30 40 6.24578e+20 3.27762e+20
100 40 -30 50 6.24578e+20 3.27762e+20
100 40 -30 60 6.24578e+20 3.27762e+20
100 40 -20 10 1.34561e+21 7.06141e+20
100 40 -20 20 1.34561e+21 7.06141e+20
100 40 -20 30 1.34561e+21 7.06141e+20
100 40 -20 40 1.34561e+21 7.06141e+20
100 40 -20 50 1.34561e+21 7.06141e+20
100 40 -20 60 1.34561e+21 7.06141e+20
100 40 -10 10 2.89904e+21 1.52133e+21
100 40 -10 20 2.89904e+21 1.52133e+21
100 40 -10 30 2.89904e+21 1.52133e+21
100 40 -10 40 2.89904e+21 1.52133e+21
100 40 -10 50 2.89904e+21 1.52133e+21
100 40 -10 60 2.89904e+21 1.52133e+21
100 40 0 10 6.24578e+21 3.27762e+21
100 40 0 20 6.24578e+21 3.27762e+21
100 40 0 30 6.24578e+21 3.27762e+21
100 40 0 40 6.24578e+21 3.27762e+21
100 40 0 50 6.24578e+21 3.27762e+21
100 40 0 60 6.24578e+21 3.27762e+21
100 40 10 10 1.34561e+22 7.06141e+21
100 40 10 20 1.34561e+22 7.06141e+21
100 40 10 30 1.34561e+22 7.06141e+21
100 40 10 40 1.34561e+22 7.06141e+21
100 40 10 50 1.34561e+22 7.06141e+21
100 40 10 60 1.34561e+22 7.06141e+21
100 40 20 10 2.89904e+22 1.52133e+22
100 40 20 20 2.89904e+22 1.52133e+22
100 40 20 30 2.89904e+22 1.52133e+22
100 40 20 40 2.89904e+22 1.52133e+22
100 40 20 50 2.89904e+22 1.52133e+22
100 40 20 60 2.89904e+22 1.52133e+22
100 40 30 10 6.24578e+22 3.27762e+22
100 40 30 20 6.24578e+22 3.27762e+22
100 40 30 30 6.24578e+22 3.27762e+22
100 40 30 40 6.24578e+22 3.27762e+22
100 40 30 50 6.24578e+22 3.27762e+22
100 40 30 60 6.24578e+22 3.27762e+22
100 50 -30 10 2.89904e+21 1.52133e+21
100 50 -30 20 2.89904e+21 1.52133e+21
100 50 -30 30 2.89904e+21 1.52133e+21
100 50 -30 40 2.89904e+21 1.52133e+21
100 50 -30 50 2.89904e+21 1.52133e+21
100 50 -30 60 2.89904e+21 1.52133e+21
100 50 -20 10 6.24578e+21 3.27762e+21
100 50 -20 20 6.24578e+21 3.27762e+21
100 50 -20 30 6.24578e+21 3.27762e+21
100 50 -20 40 6.24578e+21 3.27762e+21
100 50 -20 50 6.24578e+21 3.27762e+21
100 50 -20 60 6.24578e+21 3.27762e+21
100 50 -10 10 1.34561e+22 7.06141e+21
100 50 -10 20 1.34561e+22 7.06141e+21
100 50 -10 30 1.34561e+22 7.06141e+21
100 50 -10 40 1.34561e+22 7.06141e+21
100 50 -10 50 1.34561e+22 7.06141e+21
100 50 -10 60 1.34561e+22 7.06141e+21
100 50 0 10 2.89904e+22 1.52133e+22
100 50 0 20 2.89904e+22 1.52133e+22
100 50 0 30 2.89904e+22 1.52133e+22
100 50 0 40 2.89904e+22 1.52133e+22
100 50 0 50 2.89904e+22 1.52133e+22
100 50 0 60 2.89904e+22 1.52133e+22
100 50 10 10 6.24578e+22 3.27762e+22
100 50 10 20 6.24578e+22 3.27762e+22
100 50 10 30 6.24578e+22 3.27762e+22
100 50 10 40 6.24578e+22 3.27762e+22
100 50 10 50 6.24578e+22 3.27762e+22
100 50 10 60 6.24578e+22 3.27762e+22
100 50 20 10 1.34561e+23 7.06141e+22
100 50 20 20 1.34561e+23 7.06141e+22
100 50 20 30 1.34561e+23 7.06141e+22
100 50 20 40 1.34561e+23 7.06141e+22
100 50 20 50 1.34561e+23 7.06141e+22
100 50 20 60 1.34561e+23 7.06141e+22
100 50 30 10 2.89904e+23 1.52133e+23
100 50 30 20 2.89904e+23 1.52133e+23
100 50 30 30 2.89904e+23 1.52133e+23
100 50 30 40 2.89904e+23 1.52133e+23
100 50 30 50 2.89904e+23 1.52133e+23
100 50 30 60 2.89904e+23 1.52133e+23
100 60 -30 10 1.34561e+22 7.06141e+21
100 60 -30 20 1.34561e+22 7.06141e+21
100 60 -30 30 1.34561e+22 7.06141e+21
100 60 -30 40 1.34561e+22 7.06141e+21
100 60 -30 50 1.34561e+22 7.06141e+21
100 60 -30 60 1.34561e+22 7.06141e+21
100 60 -20 10 2.89904e+22 1.52133e+22
100 60 -20 20 2.89904e+22 1.52133e+22
100 60 -20 30 2.89904e+22 1.52133e+22
100 60 -20 40 2.89904e+22 1.52133e+22
100 60 -20 50 2.89904e+22 1.52133e+22
100 60 -20 60 2.89904e+22 1.52133e+22
100 60 -10 10 6.24578e+22 3.27762e+22
100 60 -10 20 6.24578e+22 3.27762e+22
100 60 -10 30 6.24578e+22 3.27762e+22
100 60 -10 40 6.24578e+22 3.27762e+22
100 60 -10 50 6.24578e+22 3.27762e+22
