#,number,species,transition,frequency[GHz]
1,C+,1,1900.537
2,C,1,491.70
3,C,2,809.44
4,C,3,
5,O,1,
6,O,2,2060.1
7,O,3,
8,CO,1,115.2712018
9,CO,2,230.5380000
10,CO,3,345.7959899
11,CO,4,461.0407682
12,CO,5,576.2679305
13,CO,6,691.4730763
14,CO,7,806.6518060
15,CO,8,921.7997000
16,CO,9,1036.9123930
17,CO,10,1151.9854520
18,CO,11,1267.0144860
19,CO,12,1381.9951050
20,CO,13,1496.9229090
21,CO,14,1611.7935180
22,CO,15,1726.6025057
23,CO,16,1841.3455060
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,CO,49,
57,13CO,1,110.201
58,13CO,2,220.399
59,13CO,3,330.587
60,13CO,4,440.765
61,13CO,5,550.926
62,13CO,6,661.067
63,13CO,7,771.184
64,13CO,8,881.273
65,13CO,9,991.329
66,13CO,10,1101.35
67,13CO,11,1211.330
68,13CO,12,1321.265
69,,,
70,13CO,14,1540.988
71,13CO,15,1650.767
72,,,
73,13CO,17,1870.140
74,13CO,18,1979.762
75,13CO,19,2089.240
76,13CO,20,
77,,,
78,,,
79,,,
80,,,
81,13CO,25,2744.579
82,13CO,26,2853.474
83,13CO,,
84,13CO,28,3070.984
85,,,
86,13CO,30,3287.973
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,13CO,49,
106,13C+,1,
107,13C,1,
108,13C,2,
109,13C,3,
110,HCO+,1,89.1885247
111,HCO+,2,178.3750563
112,HCO+,3,267.5576259
113,HCO+,4,356.7342230
114,HCO+,5,445.9028721
115,HCO+,6,535.0615810
116,HCO+,7,624.2083606
117,HCO+,8,713.3412278
118,HCO+,9,802.4581995
119,HCO+,10,891.5572903
120,HCO+,11,980.6364937
121,HCO+,12,1069.6938910
122,HCO+,13,1158.7272266
123,HCO+,14,1247.7350469
124,HCO+,15,1336.7149237
125,H13CO+,1,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,H13CO+,30,
155,H3O+,1,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,H3O+,17,
172,C18O,1,
173,C18O,2,219.5603541
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,C18O,,
192,Dust,1,96.707245
193,Dust,2,124.913524
194,Dust,3,166.551366
195,Dust,4,230.609583
196,Dust,5,299.792458
197,Dust,6,352.697009
198,Dust,7,428.274940
198,Dust,8,545.077196
199,Dust,9,713.791567
200,Dust,10,999.308193
201,Dust,11,1249.13524
202,Dust,12,1591.25508
203,Dust,13,1686.12181
204,Dust,14,1785.54174
205,Dust,15,1891.43507
206,Dust,16,2003.96028
207,Dust,17,2121.67345
208,Dust,18,2247.67345
209,Dust,19,2381.19506
210,Dust,20,2512.38316
211,Dust,21,2671.94704
212,Dust,22,2830.90140
213,Dust,23,2997.92458
214,Dust,24,3175.43118
215,Dust,25,3363.54155
216,Dust,26,3563.01947
217,Dust,27,3774.29760
218,Dust,28,3997.76581
219,Dust,29,4234.95491
220,Dust,30,4485.89642
221,Dust,31,4751.06906
222,Dust,32,5032.60799
223,Dust,33,5331.53936
224,Dust,34,5646.87244
225,Dust,35,5981.49358
226,Dust,36,6335.42811
227,Dust,37,6711.27061
228,Dust,38,6770.38071
229,Dust,39,7012.68908
230,Dust,40,7253.62831
231,Dust,41,7496.68562
232,Dust,42,7738.57661
233,Dust,43,7979.57035
234,Dust,44,8220.24837
235,Dust,45,8463.93162
236,Dust,46,8704.77520
237,Dust,47,8946.35804
238,Dust,48,9187.63279
239,Dust,49,9430.40132
240,Dust,50,9670.72445
241,Dust,51,9913.77176
