n	M	tauFUV
30	-40	0.05534439068729772
30	-30	0.1171402786019488
30	-20	0.24330591365620904
30	-10	0.48786321352920886
30	0	0.9243413276934869
30	10	1.623517364977851
30	20	2.5832679527652713
30	30	3.6068088908213274
40	-40	0.24330591365620935
40	-30	0.4878632135292087
40	-20	0.9243413276934871
40	-10	1.6235173649778503
40	0	2.5832679527652735
40	10	3.6068088908213207
40	20	4.492198089533661
40	30	5.323307444709912
50	-40	0.9243413276934872
50	-30	1.6235173649778516
50	-20	2.5832679527652718
50	-10	3.6068088908213185
50	0	4.492198089533647
50	10	5.323307444709949
50	20	6.15466806647673
50	30	6.9871949187233495
60	-40	2.5832679527652727
60	-30	3.6068088908213185
60	-20	4.492198089533669
60	-10	5.323307444709909
60	0	6.154668066476694
60	10	6.987194918723172
60	20	7.820262726953055
60	30	8.65358137488886
70	-40	4.492198089533648
70	-30	5.323307444709908
70	-20	6.154668066476718
70	-10	6.987194918723421
70	0	7.820262726952724
70	10	8.653581374888917
70	20	9.487016398545656
70	30	10.320505427455556
80	-40	6.154668066476792
80	-30	6.9871949187231905
80	-20	7.8202627269526905
80	-10	8.65358137488908
80	0	9.487016398547874
80	10	10.320505427452119
80	20	11.15401952087896
80	30	11.98754524769346
